txHit	strand	alncount
NA	-	2043844
NA	+	1084530
4146	+	79313
6337	+	71829
5576	+	71317
235	+	70537
4643	+	70498
3383	+	69837
4640	+	69526
3385	+	68613
2253	+	67102
6161	+	66389
6382	+	65151
1087	+	65069
4352	-	64926
1060	+	64047
4157	+	62302
5714	+	61173
4311	-	56370
182	+	50621
20	+	48431
6225	+	47034
3915	-	45680
190	+	43157
4392	-	42311
2518	-	42054
4772	+	38041
4627	+	37113
6507	-	34105
4050	+	31314
2191	+	30806
5575	+	30656
3384	+	30499
5898	-	30309
2252	+	30300
6160	+	30037
1086	+	29985
2821	+	29907
4163	+	29453
4642	+	29282
3382	+	29109
4145	+	28973
1653	+	26411
2620	-	26274
1059	+	26071
6673	+	25853
4639	+	25617
39	+	25175
5668	+	25173
4341	-	25106
5262	+	24857
3874	-	24649
4300	-	24589
6381	+	23486
5713	+	23367
933	+	23322
4115	+	22930
2360	+	22751
189	+	22562
4100	+	22411
132	+	22016
103	-	21806
274	+	21274
6374	+	20965
3440	+	20713
3515	-	19795
5480	-	19710
2181	+	19549
2426	-	19343
166	+	18603
5923	-	18434
4532	-	18364
2336	+	18087
6213	+	18083
1987	+	18034
4493	-	17997
3003	-	17440
3675	+	17347
6639	-	17295
1773	+	16909
458	-	16769
6261	+	16756
926	+	16533
606	+	16508
5572	+	16101
1099	+	16061
1605	-	16035
5189	+	15984
5176	+	15930
181	+	15776
1911	-	15771
2372	+	15686
3806	+	15677
1459	-	15609
5825	+	15571
5708	+	15212
1006	+	15073
408	-	15047
4421	-	14983
2100	+	14911
1732	+	14707
779	+	14703
4947	-	14682
5357	-	14676
5651	+	14388
6624	-	14311
3731	+	14288
1928	-	14056
1035	+	13943
4943	-	13833
4495	-	13817
5458	-	13805
4249	+	13803
4205	+	13696
2541	-	13653
521	-	13637
1243	-	13622
2170	+	13609
3284	+	13543
618	+	13453
6309	+	13404
1847	-	13325
5505	-	13247
487	-	13237
107	-	13129
1215	-	12999
5049	-	12966
2871	-	12875
6311	+	12862
3920	-	12841
1373	-	12819
4061	+	12788
4506	-	12749
127	+	12649
3482	-	12647
2337	+	12438
361	-	12368
22	+	12293
3021	+	12281
5464	-	12245
3353	+	12230
6101	-	12074
5563	+	11861
2993	-	11811
1432	-	11688
2646	-	11591
188	+	11450
6436	-	11362
276	+	11343
4999	-	11326
5466	-	11265
5795	+	11247
730	-	11130
5033	-	11085
800	+	11042
1242	-	10989
5609	+	10984
205	+	10904
5205	+	10899
2591	-	10739
4362	-	10726
859	+	10646
4909	-	10508
3677	+	10501
417	-	10459
4344	-	10290
184	+	10281
2599	-	10267
3603	-	10216
1746	+	10195
2290	+	10195
327	+	10158
6542	-	10108
481	-	10105
6596	-	10077
2675	-	9966
197	+	9923
1624	+	9906
2517	-	9827
914	+	9822
457	-	9806
2705	+	9644
682	-	9625
1587	-	9532
4576	-	9458
5110	+	9441
2035	-	9438
1884	-	9310
2480	-	9309
6174	+	9308
2105	+	9260
4674	+	9204
1281	-	9162
1521	-	9147
6516	-	9081
3648	-	9075
1347	-	9045
980	+	9042
2307	+	9041
1968	+	9024
2933	-	8977
5823	+	8938
3584	-	8929
908	+	8895
6383	+	8873
514	-	8827
454	-	8825
1764	+	8783
6610	-	8706
906	+	8681
2717	+	8624
3999	-	8620
2847	+	8618
2180	+	8588
3269	+	8560
4841	+	8429
6645	-	8427
2205	+	8421
1138	+	8396
1126	+	8380
6428	-	8295
3588	-	8289
2904	-	8244
6170	+	8231
2310	+	8214
4884	-	8130
4203	+	8098
3068	+	8085
797	+	8042
6640	-	8029
2071	-	7991
2999	-	7945
5045	-	7910
2909	-	7908
858	+	7841
901	+	7830
2332	+	7806
3086	+	7785
4020	+	7712
3150	-	7693
679	-	7684
2615	-	7663
2416	-	7661
3270	+	7585
1713	+	7571
1407	-	7494
3630	-	7490
4422	-	7482
2568	-	7452
3057	+	7430
3276	+	7406
4054	+	7390
448	-	7386
1221	-	7374
1912	-	7369
1235	-	7333
2448	-	7310
1646	+	7262
1098	+	7257
4519	-	7228
6099	-	7160
2661	-	7153
364	-	7112
2905	-	7103
3843	-	7034
6093	-	6978
4132	+	6944
4076	+	6879
2672	-	6812
3281	+	6802
2354	+	6797
1283	-	6787
3662	+	6771
1924	-	6737
4271	+	6726
1970	+	6688
2330	+	6666
1860	-	6642
4886	-	6633
2162	+	6630
1894	-	6560
5879	-	6532
4500	-	6487
6138	-	6478
6134	-	6429
4944	-	6425
1509	-	6404
4270	+	6398
5494	-	6336
827	+	6313
1589	-	6300
6019	-	6228
3510	-	6226
3687	+	6155
5285	+	6149
5468	-	6144
5453	-	6137
1986	+	6134
1413	-	6115
5817	+	6113
6038	-	6099
4556	-	6086
6079	-	6079
1596	-	6057
6130	-	6056
4810	+	6025
2335	+	6010
4725	+	5986
3825	+	5980
2438	-	5964
5814	+	5955
5748	+	5892
4317	-	5856
922	+	5845
4217	+	5843
1010	+	5824
900	+	5814
885	+	5787
894	+	5778
2551	-	5765
4248	+	5753
2505	-	5744
5183	+	5729
4390	-	5726
978	+	5722
2567	-	5704
2723	+	5681
1119	+	5669
2534	-	5666
4475	-	5663
5946	-	5649
3660	+	5605
605	+	5601
4649	+	5590
4125	+	5576
1442	-	5547
1641	+	5517
6681	+	5517
2380	+	5508
1505	-	5480
6043	-	5459
4055	+	5457
2897	-	5383
5718	+	5370
959	+	5362
2135	+	5344
2296	+	5342
1335	-	5332
5251	+	5325
1268	-	5312
1238	-	5298
3004	-	5281
2799	+	5260
216	+	5255
4792	+	5253
3180	-	5221
4777	+	5219
108	-	5212
377	-	5201
183	+	5188
3364	+	5173
3196	-	5164
1034	+	5159
651	+	5158
6316	+	5157
3719	+	5152
2917	-	5126
4263	+	5116
6625	-	5111
5522	-	5101
4545	-	5073
943	+	5062
1643	+	5057
5090	-	5054
1389	-	5053
6178	+	5053
1686	+	5034
3329	+	5004
2670	-	4994
1822	-	4975
5046	-	4961
1460	-	4946
6243	+	4916
6566	-	4909
4414	-	4905
4439	-	4896
6047	-	4876
4252	+	4874
2363	+	4873
2542	-	4870
2306	+	4851
2046	-	4848
4673	+	4836
4994	-	4810
1797	-	4799
2600	-	4795
394	-	4792
634	+	4784
1256	-	4776
4298	-	4772
6367	+	4767
4339	-	4763
1394	-	4742
1374	-	4736
218	+	4731
5089	-	4722
1738	+	4718
3570	-	4716
4948	-	4713
6115	-	4708
4579	-	4705
1929	-	4688
5824	+	4683
2650	-	4679
2131	+	4668
5768	+	4645
2129	+	4627
5963	-	4623
4885	-	4618
5195	+	4615
553	-	4601
126	+	4593
1858	-	4563
228	+	4561
497	-	4557
1649	+	4540
1433	-	4535
2179	+	4531
3540	-	4529
5630	+	4509
5001	-	4492
4028	+	4464
3941	-	4459
2258	+	4456
5734	+	4453
1634	+	4445
704	-	4426
1097	+	4409
5358	-	4386
5060	-	4381
1439	-	4360
1079	+	4354
2924	-	4354
3783	+	4353
4700	+	4352
2508	-	4347
3613	-	4334
1749	+	4326
6131	-	4322
686	-	4317
1149	+	4313
1843	-	4299
6030	-	4270
3824	+	4260
1005	+	4254
2984	-	4253
1294	-	4241
1553	-	4241
2926	-	4239
5726	+	4228
6250	+	4226
3681	+	4225
3918	-	4220
2386	+	4196
1590	-	4181
5043	-	4168
3797	+	4149
755	-	4139
793	+	4123
6157	+	4099
30	+	4093
4659	+	4068
654	+	4066
5497	-	4058
5224	+	4056
1234	-	4048
4135	+	4046
5153	+	4038
18	+	4027
2773	+	4027
5365	-	4022
3185	-	4020
92	-	4000
3527	-	4000
6245	+	3996
2818	+	3994
5259	+	3987
2597	-	3985
3209	-	3980
2832	+	3974
2836	+	3966
5133	+	3963
5589	+	3963
823	+	3953
5242	+	3951
851	+	3937
257	+	3934
5307	+	3931
5478	-	3921
381	-	3911
6654	-	3911
2903	-	3893
4731	+	3887
2464	-	3877
6253	+	3872
5444	-	3864
2945	-	3860
5532	-	3859
3030	+	3858
1141	+	3856
1331	-	3850
398	-	3835
3974	-	3832
5810	+	3825
1796	-	3809
6614	-	3802
6420	-	3798
2827	+	3797
889	+	3788
