txHit	strand	alncount
NA	-	1772431
NA	+	929630
4146	+	71159
6337	+	67556
235	+	65687
5576	+	63091
4643	+	62846
3385	+	62709
4640	+	62144
4157	+	61882
3383	+	61485
2253	+	61298
1087	+	58289
6161	+	58189
6382	+	57956
5714	+	56277
1060	+	55591
4352	-	50126
182	+	48393
6225	+	44694
3915	-	40298
190	+	39025
20	+	37266
4627	+	37085
4392	-	34822
2518	-	33967
4311	-	32977
4050	+	31311
6507	-	30651
933	+	27786
5575	+	27778
3384	+	27227
1086	+	27190
6160	+	27024
2252	+	26825
5668	+	26825
4163	+	25887
4145	+	25858
3382	+	25850
4642	+	25811
6673	+	25317
2821	+	24182
5898	-	23767
39	+	23333
1059	+	23163
4341	-	22990
5262	+	22910
4639	+	22536
6374	+	22372
4300	-	22323
2191	+	21561
4772	+	21399
4115	+	21345
3874	-	20755
5713	+	20685
2360	+	20540
6381	+	20429
1605	-	20203
189	+	19962
5923	-	19670
2620	-	18924
4100	+	18902
132	+	18807
1653	+	18617
3440	+	18432
3068	+	18380
5505	-	18128
181	+	17920
3675	+	17688
2426	-	17585
6261	+	17549
274	+	17170
4493	-	17082
166	+	17013
3630	-	16877
3284	+	16599
926	+	16085
2181	+	15879
3806	+	15732
2100	+	15635
5563	+	15592
1099	+	15461
5708	+	15164
1732	+	15139
6309	+	14994
3482	-	14968
408	-	14634
5189	+	14580
779	+	14571
458	-	14475
6213	+	14418
2336	+	14405
5480	-	14399
2871	-	14247
1987	+	14201
3003	-	14181
1624	+	14153
6311	+	14040
5176	+	13980
4532	-	13732
4205	+	13711
6639	-	13520
5357	-	13470
6542	-	13345
103	-	13239
606	+	12740
5049	-	12610
3515	-	12457
4943	-	12443
914	+	12421
1459	-	12413
1928	-	12323
1911	-	12247
4495	-	12218
276	+	12138
5825	+	12079
2337	+	11930
5458	-	11924
4421	-	11777
2205	+	11570
4947	-	11562
1006	+	11512
361	-	11495
3731	+	11289
4999	-	11181
2372	+	11173
4909	-	11143
1035	+	11046
4061	+	10822
6624	-	10802
3021	+	10672
6174	+	10531
4673	+	10507
2541	-	10504
5795	+	10501
2993	-	10494
4249	+	10483
5045	-	10472
5466	-	10460
3920	-	10409
5823	+	10392
2290	+	10267
5572	+	10254
730	-	10048
6516	-	10031
188	+	10030
2170	+	10028
2827	+	10019
5609	+	9946
3677	+	9942
1847	-	9917
1373	-	9885
859	+	9862
618	+	9854
487	-	9773
800	+	9745
5110	+	9587
107	-	9568
2591	-	9549
1243	-	9546
514	-	9451
797	+	9404
197	+	9360
4576	-	9347
6101	-	9343
1746	+	9304
4841	+	9270
127	+	9178
1281	-	9100
521	-	9098
1773	+	9090
1764	+	9088
481	-	9076
4344	-	9056
4132	+	9049
205	+	8998
6596	-	8998
2646	-	8994
22	+	8859
2597	-	8802
1432	-	8757
858	+	8738
2307	+	8651
184	+	8595
1407	-	8564
4674	+	8563
1138	+	8513
6645	-	8442
3269	+	8424
6610	-	8401
2675	-	8334
2933	-	8300
2599	-	8284
6243	+	8276
454	-	8268
2035	-	8255
5438	-	8237
3648	-	8200
900	+	8129
6099	-	8114
417	-	8092
3276	+	8032
3057	+	8019
1242	-	8012
1894	-	8010
6170	+	7975
5033	-	7949
2717	+	7862
6383	+	7817
1347	-	7734
1968	+	7701
4203	+	7695
1713	+	7616
6428	-	7580
2310	+	7568
448	-	7529
3999	-	7507
908	+	7472
2705	+	7464
3603	-	7401
2661	-	7366
1884	-	7357
1283	-	7334
901	+	7327
2480	-	7255
2296	+	7205
906	+	7186
4390	-	7184
2615	-	7050
4270	+	7042
5453	-	7041
2904	-	6986
4506	-	6936
1509	-	6888
1215	-	6883
6640	-	6841
2105	+	6831
2999	-	6830
2897	-	6828
3797	+	6828
922	+	6825
959	+	6794
4944	-	6785
5224	+	6783
980	+	6777
2672	-	6769
5522	-	6749
827	+	6734
1126	+	6674
3086	+	6663
183	+	6637
3353	+	6633
5464	-	6627
2354	+	6584
2534	-	6581
3588	-	6515
327	+	6509
978	+	6504
2723	+	6500
4500	-	6487
4792	+	6433
5879	-	6421
6178	+	6375
4519	-	6326
2416	-	6323
3584	-	6304
2847	+	6299
682	-	6292
6681	+	6256
553	-	6231
1221	-	6220
3150	-	6209
2330	+	6180
2551	-	6167
4054	+	6129
1912	-	6075
1119	+	6043
2180	+	6023
4263	+	6022
6566	-	6019
4725	+	6015
5358	-	6012
2071	-	6005
885	+	5993
679	-	5951
4422	-	5931
4020	+	5861
5090	-	5841
1235	-	5826
2505	-	5818
2905	-	5811
3510	-	5741
1646	+	5726
1643	+	5692
2448	-	5686
5651	+	5659
2909	-	5627
2818	+	5620
4076	+	5593
3527	-	5592
2438	-	5582
2135	+	5578
3687	+	5571
1860	-	5536
1641	+	5515
1596	-	5491
2517	-	5480
6130	-	5480
6079	-	5464
1843	-	5462
1413	-	5419
1394	-	5361
4055	+	5304
1238	-	5297
6316	+	5251
4994	-	5248
3540	-	5203
3662	+	5198
4556	-	5169
5259	+	5165
1268	-	5154
1924	-	5154
6250	+	5147
1797	-	5145
5748	+	5145
364	-	5118
1505	-	5117
4271	+	5112
5497	-	5090
1986	+	5062
2335	+	5053
4700	+	5052
6038	-	5042
6286	+	5040
457	-	5037
6019	-	5032
6134	-	5028
6436	-	5025
5205	+	5019
704	-	5006
4545	-	5004
3344	+	5002
5183	+	4991
218	+	4985
913	+	4963
2832	+	4953
6115	-	4952
3941	-	4943
4777	+	4927
5804	+	4923
3918	-	4898
6047	-	4891
4886	-	4868
2568	-	4865
1858	-	4825
1098	+	4824
894	+	4818
634	+	4817
1587	-	4791
4298	-	4791
2567	-	4781
1442	-	4779
3783	+	4751
1822	-	4749
1738	+	4741
5089	-	4721
5285	+	4712
4217	+	4578
4317	-	4557
1341	-	4539
605	+	4524
4248	+	4521
4362	-	4513
422	-	4497
497	-	4468
2380	+	4463
6228	+	4458
3270	+	4449
686	-	4446
801	+	4437
2258	+	4407
3825	+	4403
4252	+	4398
1686	+	4384
654	+	4376
2286	+	4373
108	-	4357
1521	-	4353
1375	-	4351
3364	+	4341
377	-	4332
1859	-	4327
5726	+	4319
2464	-	4306
5589	+	4298
3004	-	4294
4884	-	4288
216	+	4277
2650	-	4259
381	-	4243
4125	+	4234
1460	-	4186
6367	+	4185
4986	-	4174
6625	-	4174
3681	+	4167
5599	+	4158
228	+	4148
1149	+	4134
1097	+	4102
1586	-	4090
1234	-	4084
3196	-	4078
5963	-	4074
3281	+	4073
2332	+	4067
5550	+	4065
1034	+	4064
5076	-	4061
6615	-	4043
1340	-	4036
2607	-	4035
2950	-	4030
30	+	4024
2162	+	4021
2773	+	4020
4885	-	4019
3329	+	4011
2158	+	4010
2600	-	4007
1983	+	4004
2131	+	4003
1589	-	4002
1016	+	3996
5817	+	3991
2984	-	3982
2542	-	3979
3185	-	3970
3358	+	3960
1929	-	3954
6093	-	3901
1079	+	3892
2508	-	3887
1374	-	3873
4946	-	3862
5946	-	3858
6270	+	3844
6043	-	3843
6066	-	3840
4819	+	3823
3180	-	3820
5814	+	3807
1970	+	3805
5749	+	3805
4948	-	3799
3776	+	3791
3719	+	3777
744	-	3773
4120	+	3772
126	+	3768
354	-	3754
2478	-	3754
1649	+	3744
2027	-	3739
863	+	3738
2462	-	3737
1433	-	3715
1141	+	3702
1671	+	3698
2363	+	3684
6157	+	3679
4649	+	3675
4895	-	3674
34	+	3666
5001	-	3666
5153	+	3658
1335	-	3655
5251	+	3648
257	+	3638
2257	+	3628
1108	+	3623
4810	+	3617
4867	-	3615
5630	+	3608
6251	+	3605
4028	+	3604
3843	-	3596
4731	+	3583
755	-	3579
2306	+	3571
5997	-	3569
4485	-	3563
5444	-	3559
1634	+	3552
6016	-	3549
1339	-	3545
1256	-	3544
866	+	3535
2274	+	3506
6030	-	3506
5824	+	3504
4339	-	3502
4122	+	3500
832	+	3499
2209	+	3497
6614	-	3496
1295	-	3492
3302	+	3490
3438	+	3485
4037	+	3476
6490	-	3465
137	+	3457
1796	-	3457
793	+	3440
2221	+	3427
5468	-	3424
5046	-	3413
1553	-	3382
5060	-	3371
3612	-	3361
4183	+	3358
857	+	3348
943	+	3348
5778	+	3345
92	-	3343
5195	+	3343
5379	-	3339
4579	-	3338
2618	-	3334
5869	-	3324
5598	+	3321
870	+	3316
3824	+	3312
1498	-	3300
2903	-	3294
1439	-	3266
1005	+	3256
5902	-	3252
796	+	3248
3354	+	3247
1802	-	3238
3023	+	3229
4457	-	3221
3499	-	3213
4439	-	3212
2046	-	3210
4052	+	3199
6545	-	3198
3209	-	3197
4613	+	3197
3867	-	3191
3629	-	3184
1904	-	3181
5734	+	3180
3660	+	3172
5187	+	3169
4262	+	3150
394	-	3141
3030	+	3132
845	+	3124
2670	-	3118
5212	+	3118
1007	+	3115
5411	-	3111
2917	-	3107
4131	+	3104
2888	-	3102
5133	+	3090
2112	+	3089
6138	-	3088
1903	-	3076
5096	-	3076
6072	-	3076
477	-	3074
4559	-	3071
169	+	3065
830	+	3063
4475	-	3061
6131	-	3061
5768	+	3060
2110	+	3059
838	+	3056
1425	-	3056
2386	+	3053
1975	+	3049
6580	-	3031
2755	+	3028
5520	-	3025
1294	-	3016
2611	-	3016
3930	-	3012
877	+	3009
1389	-	3005
531	-	3000
2224	+	2998
3576	-	2991
677	-	2987
6168	+	2985
3139	-	2983
2269	+	2979
2744	+	2973
2638	-	2969
6108	-	2969
5242	+	2965
5374	-	2963
18	+	2958
4162	+	2950
