txHit	strand	alncount
NA	-	2224158
NA	+	1089637
6337	+	73047
235	+	69945
4157	+	69248
4146	+	67398
5576	+	64591
4643	+	63506
3385	+	63125
4640	+	62918
3383	+	61364
2253	+	60665
6161	+	58712
1087	+	58071
6382	+	57658
1060	+	56347
5714	+	55111
4392	-	52981
4352	-	52316
6225	+	49708
3915	-	48833
182	+	43867
4627	+	43453
933	+	42965
20	+	41673
190	+	36800
4311	-	36106
6673	+	35764
6507	-	35634
4050	+	35547
2191	+	34478
2518	-	32706
4341	-	30680
4115	+	30032
5898	-	28619
5575	+	27951
2252	+	27503
6160	+	27341
5668	+	27339
1086	+	27241
3384	+	27236
4300	-	26572
4163	+	26502
2360	+	26401
3874	-	26321
4145	+	26231
4642	+	26225
3382	+	26199
132	+	25193
39	+	25027
4772	+	24958
1605	-	24948
6261	+	23542
2821	+	23534
1059	+	22933
166	+	22856
6311	+	22801
2620	-	22435
3675	+	22424
274	+	22417
2181	+	22354
2426	-	22344
4639	+	22238
4100	+	22175
5480	-	22077
5923	-	21868
5262	+	21663
5189	+	21240
4493	-	21203
6381	+	20391
5713	+	20258
3482	-	20130
3440	+	20069
2100	+	19628
3806	+	19589
189	+	19491
458	-	19227
3284	+	18902
4205	+	18725
926	+	18523
1732	+	18201
2871	-	18187
6542	-	17964
6213	+	17941
408	-	17883
6374	+	17878
5563	+	17871
1624	+	17303
4495	-	17054
4532	-	16825
1099	+	16681
5176	+	16273
5049	-	16257
2337	+	16086
5708	+	16083
5795	+	15637
188	+	15414
779	+	15281
3068	+	15071
276	+	14956
5045	-	14944
4999	-	14767
5458	-	14685
4909	-	14603
181	+	14530
361	-	14494
6101	-	14276
5823	+	14217
3021	+	14181
3003	-	14120
3515	-	13836
2993	-	13823
4252	+	13808
914	+	13703
487	-	13698
6639	-	13475
5572	+	13416
1746	+	13362
22	+	13220
6516	-	13186
1847	-	13172
1242	-	13158
2209	+	13089
5205	+	13028
103	-	12964
1459	-	12959
5505	-	12906
1911	-	12890
1281	-	12730
4673	+	12623
1987	+	12603
1215	-	12543
859	+	12540
3731	+	12531
2591	-	12518
730	-	12501
5357	-	12455
3920	-	12440
2336	+	12430
4421	-	12394
4506	-	12391
514	-	12288
2672	-	12167
4061	+	12140
4947	-	12092
4674	+	12052
1138	+	12035
1928	-	11973
4132	+	11957
2170	+	11950
800	+	11925
6174	+	11925
184	+	11861
900	+	11855
481	-	11755
2290	+	11744
1773	+	11714
4576	-	11693
6309	+	11619
4943	-	11590
4841	+	11566
6170	+	11552
6243	+	11550
606	+	11525
5466	-	11517
205	+	11407
4810	+	11407
1884	-	11365
2307	+	11304
3677	+	11164
6624	-	11146
6610	-	11129
454	-	11077
