txHit	strand	alncount
NA	-	1739218
NA	+	881399
235	+	59844
6337	+	59014
4157	+	58027
4146	+	45814
4772	+	44823
4311	-	43317
3915	-	42435
5576	+	41617
4643	+	41328
3385	+	41319
4352	-	40343
4640	+	40284
6673	+	38761
39	+	38501
2253	+	38386
6161	+	38290
1087	+	37927
3383	+	36772
6382	+	36659
5898	-	36324
1060	+	36146
6225	+	35429
5714	+	35127
2518	-	32562
4115	+	31507
182	+	30749
6507	-	30314
20	+	29905
2821	+	29728
4050	+	27778
1605	-	27327
4495	-	26502
4341	-	26316
4627	+	26118
166	+	24694
190	+	24447
274	+	23074
4392	-	21600
3874	-	21442
458	-	21243
2620	-	20675
6374	+	20033
4300	-	18987
3675	+	18870
5923	-	18735
3515	-	18390
3440	+	18241
4909	-	17932
2591	-	17732
5668	+	17591
5189	+	17303
2360	+	17233
5563	+	17192
5572	+	17115
6311	+	17100
1086	+	16833
5575	+	16824
6160	+	16612
1884	-	16480
2252	+	16371
4163	+	16263
618	+	16212
4642	+	16207
3382	+	16193
4519	-	16183
4145	+	16030
3482	-	16026
933	+	15871
3384	+	15840
5505	-	15787
487	-	15621
3284	+	15588
6516	-	15321
1347	-	15225
6309	+	15187
103	-	15108
1732	+	14925
2426	-	14912
4506	-	14858
1099	+	14672
3068	+	14662
5708	+	14345
361	-	14305
1138	+	14305
4999	-	14240
779	+	14123
132	+	13953
1243	-	13941
514	-	13688
1059	+	13673
408	-	13664
859	+	13395
2181	+	13371
5176	+	13339
4100	+	13312
4639	+	13253
5262	+	13090
1281	-	13050
6174	+	13014
2290	+	12955
3806	+	12922
6213	+	12918
2307	+	12887
2191	+	12808
1713	+	12733
5713	+	12652
1773	+	12556
6381	+	12547
521	-	12383
4576	-	12274
5480	-	12203
189	+	12163
6134	-	12029
2170	+	11739
2100	+	11561
4205	+	11405
730	-	11269
417	-	11228
800	+	11200
926	+	11148
1624	+	11043
1847	-	10985
6261	+	10973
6610	-	10843
2505	-	10764
22	+	10718
3648	-	10688
2534	-	10651
797	+	10636
5609	+	10611
481	-	10607
2646	-	10545
4061	+	10533
3353	+	10529
4532	-	10398
4132	+	10331
1587	-	10203
4055	+	10186
1459	-	10077
6639	-	9987
3057	+	9895
914	+	9860
6681	+	9763
3630	-	9734
2924	-	9723
6428	-	9722
4674	+	9700
2926	-	9673
3731	+	9648
5045	-	9597
205	+	9586
6170	+	9497
2337	+	9496
2672	-	9461
3003	-	9452
5049	-	9307
2035	-	9244
5033	-	9225
2675	-	9180
4673	+	9160
1911	-	9137
5357	-	9068
5795	+	9060
184	+	9000
2999	-	8990
6138	-	8983
4270	+	8887
4421	-	8812
1509	-	8768
1928	-	8737
276	+	8714
1746	+	8665
181	+	8633
1221	-	8606
2336	+	8548
1987	+	8454
2105	+	8420
2871	-	8420
2568	-	8360
6101	-	8359
858	+	8243
6436	-	8180
2567	-	8176
6645	-	8173
2416	-	8161
606	+	8115
6542	-	8089
1242	-	8064
2904	-	8060
3603	-	8058
4943	-	8052
5823	+	8039
1215	-	8027
4841	+	7945
908	+	7882
4947	-	7865
2205	+	7825
3660	+	7817
448	-	7805
3677	+	7797
1098	+	7721
4777	+	7703
3276	+	7651
1235	-	7600
6596	-	7550
6624	-	7545
2993	-	7535
4493	-	7471
1968	+	7465
4203	+	7435
5464	-	7429
2098	+	7424
5651	+	7418
5825	+	7378
686	-	7365
827	+	7346
1764	+	7343
107	-	7316
2372	+	7310
3920	-	7308
4125	+	7300
2541	-	7298
1283	-	7276
704	-	7265
2909	-	7253
3021	+	7250
1268	-	7236
1006	+	7224
4344	-	7179
5879	-	7085
2551	-	7081
2705	+	7080
3629	-	7054
3086	+	7024
2071	-	6996
5466	-	6860
1373	-	6853
2903	-	6811
4249	+	6773
3584	-	6758
4556	-	6746
906	+	6701
5522	-	6666
3281	+	6608
4886	-	6607
6099	-	6599
2438	-	6596
959	+	6578
4885	-	6573
454	-	6562
364	-	6553
1035	+	6539
5478	-	6499
1015	+	6479
6079	-	6473
2332	+	6455
3662	+	6442
6250	+	6442
4076	+	6440
2180	+	6439
4884	-	6423
2933	-	6390
1432	-	6383
6093	-	6371
2310	+	6328
2717	+	6277
1924	-	6267
2296	+	6263
3918	-	6254
5110	+	6242
1738	+	6227
127	+	6222
4725	+	6189
2897	-	6146
894	+	6133
327	+	6106
3269	+	6058
2162	+	6049
832	+	6019
6367	+	6009
1413	-	6007
