sim_id	mean_p_per_m	sd_p_per_m	total_collision	total_time	collision_freq
0	434	NA	434	999853	4.34e-4
1	1328	NA	1328	999973	0.001328
10	1339	NA	1339	999900	0.001339
11	5348	NA	5348	999993	0.005348
12	20015	NA	20015	999985	0.020015
13	69452	NA	69452	999983	0.069453
14	218502	NA	218502	999997	0.218502
15	617530	NA	617530	999996	0.617532
16	1468739	NA	1468739	999999	1.46874
17	2039240	NA	2039240	746837	2.730501
18	307	NA	307	999662	3.07e-4
19	1260	NA	1260	999966	0.00126
2	5070	NA	5070	999989	0.00507
20	4999	NA	4999	999963	0.004999
21	20033	NA	20033	999931	0.020034
22	69474	NA	69474	999998	0.069474
23	228388	NA	228388	999999	0.228388
24	633410	NA	633410	999999	0.633411
25	1490771	NA	1490771	999999	1.490771
26	2378941	NA	2378941	860230	2.765468
27	327	NA	327	999987	3.27e-4
28	1203	NA	1203	999925	0.001203
29	5381	NA	5381	999941	0.005381
3	18962	NA	18962	999916	0.018964
30	20420	NA	20420	999994	0.02042
31	73142	NA	73142	999974	0.073144
32	229299	NA	229299	999995	0.2293
33	645246	NA	645246	999989	0.645253
34	1511712	NA	1511712	999999	1.511713
35	2397761	NA	2397761	858324	2.793537
36	326	NA	326	999798	3.26e-4
37	1494	NA	1494	999869	0.001494
38	5143	NA	5143	999923	0.005143
39	21016	NA	21016	999996	0.021016
4	67298	NA	67298	999973	0.0673
40	74137	NA	74137	999967	0.074139
41	237935	NA	237935	999998	0.237935
42	656474	NA	656474	999999	0.656474
43	1528345	NA	1528345	999999	1.528345
44	2344759	NA	2344759	831890	2.818591
45	333	NA	333	999567	3.33e-4
46	1511	NA	1511	999854	0.001511
47	5544	NA	5544	999963	0.005544
48	21335	NA	21335	999979	0.021335
49	75094	NA	75094	999994	0.075094
5	213481	NA	213481	999999	0.213481
50	241465	NA	241465	999998	0.241465
51	671630	NA	671630	999999	0.67163
52	1549740	NA	1549740	999999	1.549741
53	2640894	NA	2640894	929646	2.84075
54	393	NA	393	999939	3.93e-4
55	1448	NA	1448	999994	0.001448
56	5515	NA	5515	999786	0.005516
57	21956	NA	21956	999999	0.021956
58	77031	NA	77031	999987	0.077032
59	247838	NA	247838	999999	0.247838
6	602927	NA	602927	999996	0.602929
60	684728	NA	684728	999998	0.684729
61	1569582	NA	1569582	999997	1.569586
62	2334956	NA	2334956	816713	2.858965
63	424	NA	424	999668	4.24e-4
64	1571	NA	1571	999991	0.001571
65	5755	NA	5755	999933	0.005755
66	22177	NA	22177	999981	0.022177
67	77398	NA	77398	999985	0.077399
68	250741	NA	250741	999997	0.250742
69	691506	NA	691506	999998	0.691507
7	1435429	NA	1435429	999999	1.435429
70	1586385	NA	1586385	999999	1.586386
71	2585110	NA	2585110	894578	2.889752
72	391	NA	391	999996	3.91e-4
73	1685	NA	1685	999972	0.001685
74	5563	NA	5563	999964	0.005563
75	22452	NA	22452	999979	0.022452
76	79253	NA	79253	999995	0.079253
77	254378	NA	254378	999999	0.254378
78	700485	NA	700485	999997	0.700486
79	1601652	NA	1601652	999998	1.601654
8	2129218	NA	2129218	788172	2.701463
80	2387330	NA	2387330	822668	2.901936
81	343	NA	343	999987	3.43e-4
82	1594	NA	1594	999884	0.001594
83	5684	NA	5684	999978	0.005684
84	22167	NA	22167	999971	0.022168
85	79992	NA	79992	999999	0.079992
86	256630	NA	256630	999999	0.25663
87	713974	NA	713974	999999	0.713975
88	1619664	NA	1619664	999992	1.619676
89	2514958	NA	2514958	859089	2.92747
9	254	NA	254	999980	2.54e-4
