sim_id	mean_p_per_m	sd_p_per_m	total_p	total_time	psr
0	3723	NA	3723	999853	0.003724
1	7280	NA	7280	999973	0.00728
10	7134	NA	7134	999900	0.007135
11	13648	NA	13648	999993	0.013648
12	23481	NA	23481	999985	0.023481
13	35552	NA	35552	999983	0.035553
14	45035	NA	45035	999997	0.045035
15	46326	NA	46326	999996	0.046326
16	41519	NA	41519	999999	0.041519
17	28391	NA	28391	746837	0.038015
18	3648	NA	3648	999662	0.003649
19	7297	NA	7297	999966	0.007297
2	13378	NA	13378	999989	0.013378
20	13465	NA	13465	999963	0.013465
21	23316	NA	23316	999931	0.023318
22	35354	NA	35354	999998	0.035354
23	43345	NA	43345	999999	0.043345
24	41182	NA	41182	999999	0.041182
25	33440	NA	33440	999999	0.03344
26	24385	NA	24385	860230	0.028347
27	3722	NA	3722	999987	0.003722
28	7152	NA	7152	999925	0.007153
29	13362	NA	13362	999941	0.013363
3	23415	NA	23415	999916	0.023417
30	23306	NA	23306	999994	0.023306
31	35035	NA	35035	999974	0.035036
32	42452	NA	42452	999995	0.042452
33	38158	NA	38158	999989	0.038158
34	28869	NA	28869	999999	0.028869
35	20364	NA	20364	858324	0.023725
36	3749	NA	3749	999798	0.00375
37	7218	NA	7218	999869	0.007219
38	13524	NA	13524	999923	0.013525
39	23497	NA	23497	999996	0.023497
4	36738	NA	36738	999973	0.036739
40	35255	NA	35255	999967	0.035256
41	41879	NA	41879	999998	0.041879
42	36454	NA	36454	999999	0.036454
43	26476	NA	26476	999999	0.026476
44	17272	NA	17272	831890	0.020762
45	3777	NA	3777	999567	0.003779
46	7299	NA	7299	999854	0.0073
47	13626	NA	13626	999963	0.013627
48	23620	NA	23620	999979	0.02362
49	35599	NA	35599	999994	0.035599
5	49985	NA	49985	999999	0.049985
50	41983	NA	41983	999998	0.041983
51	35981	NA	35981	999999	0.035981
52	24722	NA	24722	999999	0.024722
53	17871	NA	17871	929646	0.019223
54	3708	NA	3708	999939	0.003708
55	7312	NA	7312	999994	0.007312
56	13500	NA	13500	999786	0.013503
57	23527	NA	23527	999999	0.023527
58	35557	NA	35557	999987	0.035557
59	42022	NA	42022	999999	0.042022
6	58442	NA	58442	999996	0.058442
60	35841	NA	35841	999998	0.035841
61	23881	NA	23881	999997	0.023881
62	14802	NA	14802	816713	0.018124
63	3764	NA	3764	999668	0.003765
64	7328	NA	7328	999991	0.007328
65	13651	NA	13651	999933	0.013652
66	23720	NA	23720	999981	0.02372
67	35629	NA	35629	999985	0.03563
68	42393	NA	42393	999997	0.042393
69	35825	NA	35825	999998	0.035825
7	61305	NA	61305	999999	0.061305
70	23453	NA	23453	999999	0.023453
71	15606	NA	15606	894578	0.017445
72	3734	NA	3734	999996	0.003734
73	7326	NA	7326	999972	0.007326
74	13767	NA	13767	999964	0.013767
75	23735	NA	23735	999979	0.023735
76	35896	NA	35896	999995	0.035896
77	42712	NA	42712	999999	0.042712
78	35636	NA	35636	999997	0.035636
79	23106	NA	23106	999998	0.023106
8	47615	NA	47615	788172	0.060412
80	14094	NA	14094	822668	0.017132
81	3786	NA	3786	999987	0.003786
82	7306	NA	7306	999884	0.007307
83	13638	NA	13638	999978	0.013638
84	23888	NA	23888	999971	0.023889
85	36087	NA	36087	999999	0.036087
86	43100	NA	43100	999999	0.0431
87	36242	NA	36242	999999	0.036242
88	23334	NA	23334	999992	0.023334
89	14664	NA	14664	859089	0.017069
9	3783	NA	3783	999980	0.003783
