	k_init	k_preterm_no_hit_intact	k_preterm_5_hit_intact	k_preterm_3_hit_intact	k_preterm_both_hit_intact	preterm_intact_model	preterm_intact_rate	k_cleave_no_hit	k_cleave_5_hit	k_cleave_3_hit	k_cleave_both_hit	cleave_model	cleave_rate	x_stall	k_elong_stall	n_stall
0	0.00390625	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400	0.1	1
1	0.0078125	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400	0.1	1
2	0.015625	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400	0.1	1
3	0.03125	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400	0.1	1
4	0.0625	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400	0.1	1
5	0.125	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400	0.1	1
6	0.25	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400	0.1	1
7	0.5	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400	0.1	1
8	1.0	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400	0.1	1
9	0.00390625	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401	0.2,0.2	2
10	0.0078125	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401	0.2,0.2	2
11	0.015625	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401	0.2,0.2	2
12	0.03125	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401	0.2,0.2	2
13	0.0625	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401	0.2,0.2	2
14	0.125	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401	0.2,0.2	2
15	0.25	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401	0.2,0.2	2
16	0.5	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401	0.2,0.2	2
17	1.0	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401	0.2,0.2	2
18	0.00390625	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401,402	0.30000000000000004,0.30000000000000004,0.30000000000000004	3
19	0.0078125	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401,402	0.30000000000000004,0.30000000000000004,0.30000000000000004	3
20	0.015625	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401,402	0.30000000000000004,0.30000000000000004,0.30000000000000004	3
21	0.03125	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401,402	0.30000000000000004,0.30000000000000004,0.30000000000000004	3
22	0.0625	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401,402	0.30000000000000004,0.30000000000000004,0.30000000000000004	3
23	0.125	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401,402	0.30000000000000004,0.30000000000000004,0.30000000000000004	3
24	0.25	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401,402	0.30000000000000004,0.30000000000000004,0.30000000000000004	3
25	0.5	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401,402	0.30000000000000004,0.30000000000000004,0.30000000000000004	3
26	1.0	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401,402	0.30000000000000004,0.30000000000000004,0.30000000000000004	3
27	0.00390625	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401,402,403	0.4,0.4,0.4,0.4	4
28	0.0078125	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401,402,403	0.4,0.4,0.4,0.4	4
29	0.015625	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401,402,403	0.4,0.4,0.4,0.4	4
30	0.03125	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401,402,403	0.4,0.4,0.4,0.4	4
31	0.0625	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401,402,403	0.4,0.4,0.4,0.4	4
32	0.125	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401,402,403	0.4,0.4,0.4,0.4	4
33	0.25	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401,402,403	0.4,0.4,0.4,0.4	4
34	0.5	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401,402,403	0.4,0.4,0.4,0.4	4
35	1.0	0	0	0	0	trafficjam	0	0	0.001	0	0.001	simple	0	400,401,402,403	0.4,0.4,0.4,0.4	4
