sim_id	mean_lifetime	sd_lifetime	n_mrna
0	2100	278	998
1	2102	291	995
10	2095	269	1030
11	2089	300	950
12	2054	376	1029
13	1828	604	959
14	780	737	973
15	177	82	1021
16	117	45	944
17	98	36	1021
18	2092	282	1028
19	2112	276	1020
2	2085	302	988
20	2090	300	972
21	2059	333	956
22	1870	583	1019
23	810	765	1011
24	177	91	983
25	117	43	990
26	96	35	961
27	2103	285	961
28	2098	283	962
29	2100	288	967
3	2032	397	1012
30	2068	337	992
31	1915	545	1015
32	865	770	990
33	176	87	1079
34	119	43	1005
35	96	35	981
36	2101	281	965
37	2104	285	992
38	2094	295	973
39	2070	351	1008
4	1746	655	959
40	1901	569	1021
41	879	798	1025
42	181	91	1007
43	120	45	998
44	97	33	1056
45	2121	285	983
46	2107	282	993
47	2094	280	1006
48	2071	337	1016
49	1946	491	1004
5	697	695	1047
50	916	795	945
51	196	173	978
52	121	45	1003
53	96	33	1004
54	2112	281	1015
55	2095	281	995
56	2106	292	985
57	2077	343	1005
58	1961	510	1017
59	980	822	989
6	175	85	979
60	182	98	994
61	119	48	1036
62	97	34	1023
63	2105	264	1018
64	2104	281	960
65	2094	290	1000
66	2072	324	1035
67	1925	512	1009
68	999	822	1006
69	189	107	1021
7	121	45	1073
70	121	43	970
71	96	34	982
72	2108	275	990
73	2096	290	979
74	2108	285	1065
75	2062	348	1011
76	1964	483	1030
77	954	805	967
78	203	150	951
79	121	44	1066
8	98	37	1012
80	98	35	1005
81	2108	287	1006
82	2098	270	975
83	2094	286	1073
84	2056	359	1006
85	1978	455	1003
86	1059	836	1004
87	202	168	1033
88	122	45	1009
89	98	37	959
9	2086	284	1010
