sim_id	mean_p_per_m	sd_p_per_m	total_p	total_time	psr
0	3	2	3315	999930	0.003315
1	6	4	6650	999561	0.006653
10	6	4	6876	999732	0.0068780000000000004
11	13	7	13329	999929	0.01333
12	26	13	27553	999995	0.027553
13	49	25	47056	997522	0.047173
14	40	29	39676	999997	0.039676
15	19	11	19931	998784	0.019955
16	18	12	17731	999461	0.017741
17	20	12	20974	998908	0.020997
18	3	2	3475	999737	0.003476
19	6	4	6946	999408	0.00695
2	13	7	13309	999984	0.013309
20	13	7	13576	999844	0.013578
21	27	13	26602	999997	0.026602
22	48	24	49206	999989	0.049207
23	42	31	42885	999929	0.042888
24	19	11	18867	1000000	0.018867
25	18	11	18140	999097	0.018156
26	20	12	19478	999998	0.019478
27	3	2	3397	999883	0.003397
28	7	4	6864	999958	0.006864
29	13	7	13184	999803	0.013187
3	25	13	26320	999983	0.02632
30	27	13	26930	999998	0.02693
31	48	24	48940	999991	0.04894
32	44	31	44049	999999	0.044049
33	19	11	21094	998807	0.021119
34	18	11	18752	999585	0.01876
35	19	11	19609	999885	0.019611
36	3	2	3509	999680	0.00351
37	6	4	6770	999905	0.006771
38	13	7	13581	999995	0.013581
39	26	12	26761	999985	0.026761
4	45	23	44162	999997	0.044162
40	48	25	49852	999932	0.049855
41	46	34	47154	999238	0.04719
42	20	12	20207	999684	0.020213
43	19	11	19028	999760	0.019033
44	20	12	21675	999995	0.021675
45	3	2	3503	999910	0.003503
46	6	4	6807	999851	0.006808
47	13	7	13801	999927	0.013802
48	26	13	27151	999914	0.027153
49	50	24	50775	999996	0.050775
5	36	28	38605	999999	0.038605
50	47	33	45152	999997	0.045152
51	21	14	20886	998986	0.020907
52	19	12	19534	999799	0.019538
53	20	11	20357	999998	0.020357
54	3	2	3427	999966	0.003427
55	6	4	6782	999900	0.006783
56	14	7	13798	999988	0.013798
57	26	13	26801	999997	0.026801
58	50	23	50949	999720	0.050963
59	49	33	48570	999091	0.048614
6	19	11	18620	999955	0.018621
60	19	12	19843	999999	0.019843
61	18	12	19541	999257	0.019556
62	20	12	21414	999956	0.021415
63	3	2	3487	999970	0.003487
64	6	4	6587	999660	0.006589
65	13	7	13404	999969	0.013404
66	26	12	27127	999985	0.027127
67	49	24	49641	999995	0.049641
68	51	35	51440	999999	0.05144
69	21	13	21668	999570	0.021677
7	19	11	20673	999266	0.020688
70	20	12	19435	999999	0.019435
71	20	12	20074	998392	0.020106
72	3	2	3454	999682	0.003455
73	6	3	6723	999888	0.006724
74	13	7	13918	999984	0.013918
75	26	13	27065	999972	0.027066
76	49	24	51040	999982	0.051041
77	49	34	48173	998630	0.048239
78	22	14	21073	999999	0.021073
79	19	11	20849	999309	0.020863
8	20	12	20747	992574	0.020902
80	20	12	20925	999137	0.020943
81	3	2	3432	999838	0.003433
82	7	4	6782	998946	0.006789
83	12	6	13847	999751	0.01385
84	27	14	27278	999999	0.027278
85	50	24	51053	999946	0.051056
86	54	36	54899	999999	0.054899
87	22	15	22736	998252	0.022776
88	19	12	19777	999812	0.019781
89	20	12	20156	999617	0.020164
9	3	2	3453	999582	0.003454
