	k_init	k_preterm_no_hit_intact	k_preterm_5_hit_intact	k_preterm_3_hit_intact	k_preterm_both_hit_intact	preterm_intact_model	preterm_intact_rate	n_stall	x_stall	k_elong_stall	l_cleave	k_cleave_no_hit	k_cleave_5_hit	k_cleave_3_hit	k_cleave_both_hit	cleave_model	cleave_rate
0	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	4.4e-05	4.4e-05	0	0.0	simple	4.4e-05
1	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	0.0	4.4e-05	0	4.4e-05	hit5	4.4e-05
2	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	6.2e-05	6.2e-05	0	0.0	simple	6.2e-05
3	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	0.0	6.2e-05	0	6.2e-05	hit5	6.2e-05
4	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	8.8e-05	8.8e-05	0	0.0	simple	8.8e-05
5	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	0.0	8.8e-05	0	8.8e-05	hit5	8.8e-05
6	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	0.000125	0.000125	0	0.0	simple	0.000125
7	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	0.0	0.000125	0	0.000125	hit5	0.000125
8	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	0.000177	0.000177	0	0.0	simple	0.000177
9	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	0.0	0.000177	0	0.000177	hit5	0.000177
10	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	0.00025	0.00025	0	0.0	simple	0.00025
