nrows	sim_id	rxn_type	mean_abort_per_m	sd_abort_per_m	total_abort	total_time	abort_freq
2	0	preterm_5_hit_endocleaved	5	5	364	996632	3.65e-4
2	0	preterm_no_hit_endocleaved	4	5	1247	996632	0.001251
2	1	preterm_5_hit_endocleaved	6	5	860	995258	8.64e-4
2	1	preterm_no_hit_endocleaved	5	2	788	995258	7.92e-4
2	10	preterm_5_hit_endocleaved	4	4	974	985679	9.88e-4
2	10	preterm_no_hit_endocleaved	5	5	3833	998536	0.003839
2	11	preterm_5_hit_endocleaved	4	4	1723	998957	0.001725
2	11	preterm_no_hit_endocleaved	4	2	1836	998957	0.001838
2	12	preterm_5_hit_endocleaved	4	4	1202	998320	0.001204
2	12	preterm_no_hit_endocleaved	5	5	4405	999995	0.004405
2	13	preterm_5_hit_endocleaved	4	3	1665	999702	0.001665
2	13	preterm_no_hit_endocleaved	4	2	2011	999702	0.002012
2	14	preterm_5_hit_endocleaved	3	3	867	998585	8.68e-4
2	14	preterm_no_hit_endocleaved	5	4	4291	998585	0.004297
2	15	preterm_5_hit_endocleaved	4	3	1920	997743	0.001924
2	15	preterm_no_hit_endocleaved	4	2	2499	999505	0.0025
2	16	preterm_5_hit_endocleaved	3	3	760	999536	7.6e-4
2	16	preterm_no_hit_endocleaved	4	4	3961	999999	0.003961
2	17	preterm_5_hit_endocleaved	3	2	2037	993615	0.00205
2	17	preterm_no_hit_endocleaved	4	1	2906	993615	0.002925
2	18	preterm_5_hit_endocleaved	2	2	518	997080	5.2e-4
2	18	preterm_no_hit_endocleaved	4	3	3671	998513	0.003676
2	19	preterm_5_hit_endocleaved	3	2	1973	999833	0.001973
2	19	preterm_no_hit_endocleaved	4	1	3028	999833	0.003029
2	2	preterm_5_hit_endocleaved	5	6	504	989884	5.09e-4
2	2	preterm_no_hit_endocleaved	4	4	1539	998990	0.001541
2	20	preterm_5_hit_endocleaved	2	2	521	998670	5.22e-4
2	20	preterm_no_hit_endocleaved	4	3	3381	999998	0.003381
2	21	preterm_5_hit_endocleaved	3	2	1993	998060	0.001997
2	21	preterm_no_hit_endocleaved	4	1	3686	998060	0.003693
2	22	preterm_5_hit_endocleaved	1	1	364	989723	3.68e-4
2	22	preterm_no_hit_endocleaved	3	2	2985	999253	0.002987
2	23	preterm_5_hit_endocleaved	2	2	1964	996587	0.001971
2	23	preterm_no_hit_endocleaved	4	1	3861	999827	0.003862
2	24	preterm_5_hit_endocleaved	1	1	295	999573	2.95e-4
2	24	preterm_no_hit_endocleaved	3	2	2763	999573	0.002764
2	25	preterm_5_hit_endocleaved	2	1	1860	999346	0.001861
2	25	preterm_no_hit_endocleaved	4	1	4177	999763	0.004178
2	26	preterm_5_hit_endocleaved	1	1	243	991499	2.45e-4
2	26	preterm_no_hit_endocleaved	3	2	2357	998296	0.002361
2	27	preterm_5_hit_endocleaved	2	1	1801	999542	0.001802
2	27	preterm_no_hit_endocleaved	4	1	4205	999542	0.004207
