sim_id	mean_p_per_m	sd_p_per_m	total_collision	total_time	collision_freq
0	3346	7020	3393675	999999	3.393675
1	2912	5820	2761020	999999	2.761022
10	1998	3983	1916935	1000000	1.916935
11	1413	2176	1458657	999998	1.458659
12	1703	3312	1618506	999999	1.618506
13	1323	1795	1235854	999999	1.235854
14	925	1572	901062	998585	0.902339
15	1113	1430	1060892	999992	1.0609
16	654	1249	619916	999999	0.619916
17	906	1048	900044	999987	0.900055
18	388	704	374374	998513	0.374931
19	743	807	704271	999997	0.704273
2	3366	6973	3241646	999999	3.241647
20	248	396	237880	999998	0.23788
21	556	553	540596	998060	0.541647
22	163	267	148410	999253	0.148521
23	436	440	450921	999989	0.450926
24	108	181	97045	999573	0.097086
25	347	318	352856	999994	0.352858
26	77	143	64619	998296	0.064729
27	263	239	261965	999542	0.262085
28	54	89	43585	999613	0.043602
29	186	167	182482	999900	0.1825
3	2446	4887	2412117	999999	2.412119
30	236	232	235935	999991	0.235937
31	257	245	249163	999996	0.249164
32	246	236	241683	999997	0.241684
33	258	245	239769	999999	0.239769
34	247	228	234338	999949	0.23435
35	255	232	244415	999991	0.244417
36	224	205	217307	999999	0.217307
37	260	242	245825	999989	0.245828
38	209	200	197758	999420	0.197873
39	252	250	250247	999999	0.250247
4	3238	6385	3144855	999998	3.144859
40	183	183	178825	999990	0.178827
41	249	229	248369	999999	0.248369
42	153	153	137837	999997	0.137837
43	258	240	243419	999998	0.243419
44	115	111	112915	999995	0.112915
45	262	245	253209	999999	0.253209
46	93	93	87996	996371	0.088316
47	269	254	253467	999999	0.253467
48	74	77	65820	998790	0.0659
49	257	240	246408	999993	0.24641
5	2132	4106	2185782	999999	2.185783
50	57	53	49780	999733	0.049793
51	266	246	252024	999996	0.252025
52	45	42	37100	999502	0.037118
53	257	247	246291	999998	0.246291
54	35	34	29439	999740	0.029447
55	259	245	245465	999999	0.245465
56	31	31	22769	999161	0.022788
57	256	239	246177	999996	0.246178
58	24	23	16584	997847	0.01662
59	233	218	228137	999147	0.228332
6	2976	5977	2902491	999996	2.902501
7	2089	3882	2057817	999999	2.057819
8	2510	5072	2460753	999936	2.460909
9	1830	3058	1786380	999021	1.78813
