sim_id	mean_lifetime	sd_lifetime	n_mrna
0	1735	652	1018
1	1937	499	948
10	740	633	978
11	1587	757	1030
12	488	466	978
13	1421	805	931
14	351	319	991
15	1228	811	950
16	265	230	978
17	1080	819	991
18	181	156	1006
19	916	795	945
2	1607	711	964
20	141	108	1003
21	652	690	971
22	106	75	972
23	584	650	1030
24	85	61	994
25	436	519	1014
26	67	42	975
27	308	396	996
28	58	34	968
29	237	302	979
3	1912	526	985
30	1783	619	1011
31	2090	271	967
32	1690	681	998
33	2093	284	928
34	1506	728	978
35	2095	277	956
36	1342	775	1002
37	2092	291	944
38	1075	750	991
39	2098	292	989
4	1431	748	979
40	824	692	1042
41	2079	293	999
42	577	559	959
43	2088	309	938
44	399	400	1050
45	2080	307	966
46	263	242	1008
47	2062	328	945
48	204	183	981
49	2043	370	957
5	1820	592	1023
50	142	114	1016
51	2048	368	948
52	110	82	984
53	2020	432	960
54	88	64	1053
55	1997	447	950
56	71	45	996
57	1954	519	961
58	58	35	995
59	1898	562	984
6	1214	752	990
7	1779	624	984
8	983	715	988
9	1656	715	976
