sim_id	mean_p_per_m	sd_p_per_m	total_p	total_time	psr
0	92	50	94349	999999	0.094349
1	98	41	93545	999999	0.093545
10	47	41	47172	1000000	0.047172
11	76	37	79117	999998	0.079117
12	36	35	35494	999999	0.035494
13	72	37	67725	999999	0.067725
14	25	24	25745	998585	0.025781
15	63	37	60955	999992	0.060955
16	20	17	19614	999999	0.019614
17	56	36	55675	999987	0.055676
18	13	13	13944	998513	0.013965
19	47	33	45152	999997	0.045152
2	89	52	86490	999999	0.08649
20	10	9	10527	999998	0.010527
21	36	28	34994	998060	0.035062
22	7	6	7538	999324	0.007543
23	30	25	31655	999989	0.031655
24	5	5	5877	999573	0.00588
25	25	22	25619	999994	0.025619
26	4	3	4550	998296	0.004558
27	18	17	18466	999542	0.018474
28	3	3	3757	999613	0.003758
29	14	13	13913	999900	0.013914
3	93	38	92678	999999	0.092678
30	93	50	95144	999991	0.095145
31	107	49	104573	999996	0.104573
32	93	54	93023	999997	0.093023
33	108	49	100513	999999	0.100513
34	86	53	85044	999949	0.085048
35	108	47	104161	999991	0.104162
36	78	53	78807	999999	0.078807
37	108	48	102870	999989	0.102871
38	66	50	66235	999420	0.066273
39	104	49	104432	999999	0.104432
4	81	52	79736	999998	0.079736
40	54	47	57213	999990	0.057214
41	105	47	105760	999999	0.10576
42	41	38	39995	999997	0.039995
43	107	48	101606	999998	0.101606
44	30	28	31662	999995	0.031662
45	108	48	104665	999999	0.104665
46	21	21	22219	996371	0.0223
47	108	50	102778	999999	0.102778
48	16	16	15959	998790	0.015978
49	106	48	101973	999993	0.101974
5	90	38	92343	999999	0.092343
50	11	10	11505	999733	0.011508000000000001
51	107	48	102056	999996	0.102056
52	8	7	8295	999502	0.008299
53	104	51	100833	999998	0.100833
54	6	5	6750	999740	0.006752
55	103	49	98690	999999	0.09869
56	4	4	4953	999161	0.004957
57	103	49	99185	999996	0.099185
58	3	3	3823	999149	0.003826
59	96	47	94674	999147	0.094755
6	72	51	71500	999996	0.0715
7	88	37	86849	999999	0.086849
8	62	47	61825	999936	0.061829
9	82	38	80570	999021	0.080649
