	k_init	k_preterm_no_hit_intact	k_preterm_5_hit_intact	k_preterm_3_hit_intact	k_preterm_both_hit_intact	preterm_intact_model	preterm_intact_rate	n_stall	x_stall	k_elong_stall	l_cleave	k_cleave_no_hit	k_cleave_5_hit	k_cleave_3_hit	k_cleave_both_hit	cleave_model	cleave_rate
0	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	5	0.0	0.0	0	0.0	simple	0.0
1	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	5	0.0001	0.0001	0	0.0	simple	0.0001
2	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	5	0.0002	0.0002	0	0.0	simple	0.0002
3	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	5	0.001	0.001	0	0.0	simple	0.001
4	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	5	0.005	0.005	0	0.0	simple	0.005
5	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	5	0.0	0.0001	0	0.0001	hit5	0.0001
6	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	5	0.0	0.0002	0	0.0002	hit5	0.0002
7	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	5	0.0	0.001	0	0.001	hit5	0.001
8	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	5	0.0	0.005	0	0.005	hit5	0.005
9	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	5	0.0	0.01	0	0.01	hit5	0.01
10	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	0.0	0.0	0	0.0	simple	0.0
11	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	0.0001	0.0001	0	0.0	simple	0.0001
12	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	0.0002	0.0002	0	0.0	simple	0.0002
13	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	0.001	0.001	0	0.0	simple	0.001
14	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	0.005	0.005	0	0.0	simple	0.005
15	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	0.0	0.0001	0	0.0001	hit5	0.0001
16	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	0.0	0.0002	0	0.0002	hit5	0.0002
17	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	0.0	0.001	0	0.001	hit5	0.001
18	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	0.0	0.005	0	0.005	hit5	0.005
19	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	5	0.0	0.01	0	0.01	hit5	0.01
20	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	5	0.0	0.0	0	0.0	simple	0.0
21	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	5	0.0001	0.0001	0	0.0	simple	0.0001
22	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	5	0.0002	0.0002	0	0.0	simple	0.0002
23	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	5	0.001	0.001	0	0.0	simple	0.001
24	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	5	0.005	0.005	0	0.0	simple	0.005
25	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	5	0.0	0.0001	0	0.0001	hit5	0.0001
26	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	5	0.0	0.0002	0	0.0002	hit5	0.0002
27	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	5	0.0	0.001	0	0.001	hit5	0.001
28	0.00390625	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	5	0.0	0.005	0	0.005	hit5	0.005
