nrows	sim_id	rxn_type	mean_abort_per_m	sd_abort_per_m	total_abort	total_time	abort_freq
1	1	preterm_no_hit_endocleaved	1	0	2	879537	2e-6
2	101	preterm_5_hit_endocleaved	1	0	6	728429	8e-6
2	101	preterm_no_hit_endocleaved	1	1	130	979698	1.33e-4
2	102	preterm_5_hit_endocleaved	1	0	5	922634	5e-6
2	102	preterm_no_hit_endocleaved	1	0	203	995388	2.04e-4
2	103	preterm_5_hit_endocleaved	1	0	14	976217	1.4e-5
2	103	preterm_no_hit_endocleaved	1	0	770	999411	7.7e-4
2	104	preterm_5_hit_endocleaved	1	0	24	985313	2.4e-5
2	104	preterm_no_hit_endocleaved	1	0	825	995901	8.28e-4
2	105	preterm_5_hit_endocleaved	1	NA	1	859189	1e-6
2	105	preterm_no_hit_endocleaved	1	0	9	859189	1e-5
1	106	preterm_no_hit_endocleaved	1	0	7	486164	1.4e-5
2	107	preterm_5_hit_endocleaved	1	0	8	970030	8e-6
2	107	preterm_no_hit_endocleaved	1	0	39	975774	4e-5
2	108	preterm_5_hit_endocleaved	1	0	18	918390	2e-5
2	108	preterm_no_hit_endocleaved	1	0	217	995259	2.18e-4
2	109	preterm_5_hit_endocleaved	1	0	43	991698	4.3e-5
2	109	preterm_no_hit_endocleaved	1	0	448	996534	4.5e-4
2	111	preterm_5_hit_endocleaved	1	NA	1	298713	3e-6
2	111	preterm_no_hit_endocleaved	1	0	71	980175	7.2e-5
2	112	preterm_5_hit_endocleaved	1	0	3	843949	4e-6
2	112	preterm_no_hit_endocleaved	1	0	194	999368	1.94e-4
2	113	preterm_5_hit_endocleaved	1	0	7	906579	8e-6
2	113	preterm_no_hit_endocleaved	1	0	602	999971	6.02e-4
2	114	preterm_5_hit_endocleaved	1	0	10	714307	1.4e-5
2	114	preterm_no_hit_endocleaved	1	0	708	998505	7.09e-4
1	117	preterm_no_hit_endocleaved	2	NA	2	354811	6e-6
1	118	preterm_no_hit_endocleaved	1	NA	1	428379	2e-6
2	119	preterm_5_hit_endocleaved	1	0	2	658759	3e-6
2	119	preterm_no_hit_endocleaved	2	0	37	955942	3.9e-5
1	12	preterm_no_hit_endocleaved	1	0	5	810467	6e-6
2	121	preterm_5_hit_endocleaved	8	7	1518	999688	0.001518
2	121	preterm_no_hit_endocleaved	6	7	1888	999688	0.001889
2	122	preterm_5_hit_endocleaved	9	7	2537	999346	0.002539
2	122	preterm_no_hit_endocleaved	6	7	3115	999346	0.003117
2	123	preterm_5_hit_endocleaved	7	6	2437	999477	0.002438
2	123	preterm_no_hit_endocleaved	5	5	3781	999477	0.003783
2	124	preterm_5_hit_endocleaved	2	1	319	994799	3.21e-4
2	124	preterm_no_hit_endocleaved	2	1	1537	999983	0.001537
2	125	preterm_5_hit_endocleaved	6	5	4630	999615	0.004632
2	125	preterm_no_hit_endocleaved	4	3	3477	999615	0.003478
2	126	preterm_5_hit_endocleaved	5	4	4588	999382	0.004591
2	126	preterm_no_hit_endocleaved	3	2	3734	999998	0.003734
2	127	preterm_5_hit_endocleaved	3	2	2859	999998	0.002859
2	127	preterm_no_hit_endocleaved	3	1	3436	999942	0.003436
2	128	preterm_5_hit_endocleaved	2	1	1425	999647	0.001426
2	128	preterm_no_hit_endocleaved	3	1	3061	999647	0.003062
2	129	preterm_5_hit_endocleaved	1	1	1067	999269	0.001068
2	129	preterm_no_hit_endocleaved	3	1	3024	999269	0.003026
1	13	preterm_no_hit_endocleaved	1	0	21	983618	2.1e-5
2	131	preterm_5_hit_endocleaved	1	0	18	960093	1.9e-5
