sim_id	mean_lifetime	sd_lifetime	n_mrna
0	2104	277	1004
1	2069	347	973
10	2105	269	1043
100	2096	275	1019
101	1874	568	999
102	1738	670	1063
103	700	605	1051
104	152	128	962
105	2080	281	1026
106	2105	294	1001
107	2071	337	1016
108	1979	470	1002
109	1803	656	1017
11	2074	322	1006
110	2092	277	1063
111	1923	526	980
112	1699	684	1009
113	792	656	999
114	154	126	1020
115	2093	281	1027
116	2096	275	1047
117	2082	284	1023
118	2095	284	997
119	2087	306	1013
12	2052	383	1021
120	2120	280	1011
121	1659	683	1006
122	1314	745	1015
123	371	334	986
124	94	66	1028
125	1176	669	1033
126	847	581	1064
127	318	247	1030
128	166	94	1016
129	131	63	991
13	1823	627	947
130	2107	273	939
131	1728	664	1018
132	1375	762	959
133	337	324	1004
134	92	62	983
135	2079	304	1048
136	2064	363	998
137	1946	491	1004
138	1375	816	982
139	959	779	1036
14	1142	775	1017
140	2096	266	1028
141	1740	645	980
142	1455	759	982
143	384	350	977
144	98	71	991
145	2086	264	1100
146	2097	260	1038
147	2090	303	986
148	2047	366	1012
149	1998	479	997
15	2105	269	1043
150	2091	265	974
151	1595	701	958
152	1160	780	1010
153	276	275	983
154	65	44	1027
155	585	359	982
156	396	216	1029
157	192	89	1019
158	110	40	1029
159	91	28	1030
16	2105	269	1043
160	2097	277	947
161	1334	744	1007
162	890	686	977
163	181	156	1006
164	62	39	972
165	1785	630	930
166	1639	726	972
167	916	795	945
168	249	293	974
169	158	116	995
17	2121	285	983
170	2098	282	1002
171	1441	761	1014
172	992	722	992
173	202	182	976
174	62	36	928
175	2103	294	984
176	2094	312	966
177	2043	368	975
178	1928	514	987
179	1695	684	978
18	2123	278	972
180	2110	284	987
181	1477	774	929
182	1116	785	1039
183	224	281	975
184	47	33	982
185	392	251	1030
186	266	144	984
187	135	50	1038
188	84	21	989
189	72	16	961
19	2118	282	1024
190	2081	280	821
191	1003	712	977
192	558	497	977
193	127	94	969
194	44	25	937
195	734	585	973
196	469	430	977
197	196	173	978
198	102	43	984
199	85	26	964
2	2033	394	995
20	2102	275	1045
200	2096	278	984
201	993	722	976
202	512	472	951
203	117	86	1033
204	43	23	1015
205	2080	309	974
206	2045	343	970
207	1937	502	1035
208	1232	812	982
209	777	713	966
21	2093	343	948
210	2104	269	984
211	1484	804	942
212	1103	810	979
213	207	289	985
214	35	24	1032
215	335	245	994
216	216	129	1000
217	103	33	929
218	69	16	957
219	60	13	984
22	2053	342	972
220	2090	271	313
221	851	676	665
222	481	454	1020
223	104	90	1023
224	34	18	953
225	420	298	985
226	255	155	967
227	121	45	1003
228	75	19	1039
229	65	16	1051
23	1902	564	996
230	2083	287	526
231	571	510	996
232	287	252	1038
233	79	50	1003
234	32	17	1023
235	2002	451	453
236	1905	546	487
237	1203	800	618
238	275	283	960
239	140	106	1010
24	1209	782	995
240	2087	265	939
241	1476	790	1027
242	1093	809	1004
243	191	291	1021
244	29	16	972
245	343	270	953
246	190	123	997
247	90	31	1017
248	60	13	1004
249	52	13	892
25	2102	275	1045
250	2111	277	294
251	810	670	711
252	481	474	980
253	91	86	991
254	27	15	941
255	387	306	977
256	221	151	934
257	96	33	1004
258	64	15	977
259	54	15	1040
26	2102	275	1045
260	2063	288	163
261	381	346	529
262	206	178	958
263	63	37	1013
264	28	14	976
265	946	680	197
266	689	611	304
267	190	152	1026
268	93	39	1012
269	72	30	1020
27	2102	275	1045
28	2102	275	1045
29	2102	275	1045
3	1751	663	998
30	2101	278	996
31	2009	414	1015
32	1973	480	998
33	1440	757	980
34	485	464	985
35	2108	299	1023
36	2103	300	1073
37	2057	346	1029
38	1885	575	988
39	1783	651	963
4	917	695	995
40	2101	284	969
41	2038	392	1029
42	1982	451	934
43	1625	698	997
44	654	602	989
45	2101	284	969
46	2101	284	969
47	2107	282	993
48	2097	295	981
49	2085	322	978
5	2095	283	1001
50	2108	292	933
51	2056	366	981
52	2026	430	1018
53	1660	694	1013
54	684	611	1001
55	2108	292	933
56	2108	292	933
57	2092	281	1009
58	2084	283	1022
59	2104	277	929
6	2091	284	973
60	2099	264	1012
61	1977	473	1032
62	1808	613	1003
63	983	709	982
64	242	200	1047
65	2090	324	1054
66	2042	364	1015
67	1833	596	1011
68	1311	805	989
69	909	730	938
7	2090	312	966
70	2101	279	979
71	1982	465	963
72	1904	543	997
73	1224	772	983
74	322	304	1021
75	2099	268	982
76	2099	268	982
77	2094	280	1006
78	2071	351	991
79	2039	410	982
8	2024	371	1019
80	2095	275	992
81	2011	427	1033
82	1896	548	1005
83	1254	768	976
84	335	340	980
85	2095	275	992
86	2095	275	992
87	2095	275	992
88	2092	288	971
89	2058	293	997
9	2008	413	991
90	2100	276	1006
91	1816	603	980
92	1610	711	1072
93	524	461	957
94	142	100	998
95	1868	540	1017
96	1663	657	1005
97	1005	755	1003
98	385	379	1070
99	278	275	1017
