sim_id	mean_p_per_m	sd_p_per_m	total_p	total_time	psr
0	3	2	3333	999764	0.003334
1	3	2	3298	999793	0.003299
10	3	2	3409	999929	0.003409
100	26	13	27414	999976	0.027415
101	25	13	25862	999997	0.025862
102	23	13	24638	995388	0.024752
103	12	10	13504	999411	0.013512
104	3	2	3239	997123	0.003248
105	26	13	27416	999966	0.027417
106	26	13	26896	999998	0.026896
107	26	13	27151	999914	0.027153
108	25	12	25568	999301	0.025586
109	23	12	24042	999992	0.024042
11	3	2	3451	999988	0.003451
110	26	12	28208	997531	0.028278
111	26	14	25739	999971	0.02574
112	24	14	24417	999989	0.024417
113	14	11	14077	999971	0.014077
114	3	2	3611	999767	0.003612
115	27	12	27820	999994	0.02782
116	26	13	28264	999977	0.028265
117	27	13	27755	999977	0.027756
118	27	13	27205	999982	0.027205
119	26	12	26914	998584	0.026952
12	3	2	3329	999919	0.003329
120	50	20	51429	999999	0.051429
121	42	24	43033	999999	0.043033
122	33	24	34521	999346	0.034544
123	10	10	10792	999999	0.010792
124	3	3	3487	999983	0.003487
125	28	15	29753	999999	0.029753
126	20	11	22316	999998	0.022316
127	8	5	9028	999998	0.009028
128	4	2	4282	999647	0.004284
129	2	1	2969	999269	0.002971
13	3	2	3098	999893	0.003098
130	56	26	53353	999987	0.053354
131	47	28	49005	999994	0.049005
132	41	27	40060	999996	0.04006
133	13	13	13919	998440	0.013941
134	3	2	3494	997924	0.003501
135	52	25	55171	999999	0.055171
136	53	25	53855	999985	0.053856
137	50	24	50775	999996	0.050775
138	35	21	34824	999994	0.034824
139	26	19	27042	999548	0.027054
14	2	1	2382	999951	0.002382
140	53	26	54841	999272	0.054881
141	48	27	47771	999979	0.047772
142	43	28	43035	999997	0.043035
143	15	14	15362	999995	0.015362
144	4	3	3988	999867	0.003989
145	50	23	56158	999995	0.056158
146	53	25	55411	999986	0.055412
147	54	27	53558	999996	0.053558
148	53	25	53864	999998	0.053864
149	51	25	51931	999992	0.051931
15	3	2	3409	999929	0.003409
150	75	11	73584	999999	0.073584
151	55	28	52927	999995	0.052927
152	39	28	39636	999999	0.039636
153	12	11	12385	999556	0.01239
154	4	4	4502	999461	0.004504
155	25	14	24749	999767	0.024755
156	18	11	19451	999998	0.019451
157	9	6	9458	998373	0.009473
158	4	3	4488	998136	0.004496
159	3	2	3230	998905	0.003234
