	k_init	k_transcription	k_deadenylation	n_mrna_0	k_cleave_no_hit	k_cleave_5_hit	k_cleave_3_hit	k_cleave_both_hit	cleave_model	cleave_rate	n_stall	x_stall	k_elong_stall	k_preterm_no_hit_intact	k_preterm_5_hit_intact	k_preterm_3_hit_intact	k_preterm_both_hit_intact	preterm_intact_model	preterm_intact_rate
0	0.00390625	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	0.0	0.0	0.0	0.0	trafficjam	0.0
1	0.00390625	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	0.01	0.01	0.0	0.0	simple	0.01
2	0.00390625	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	0.02	0.02	0.0	0.0	simple	0.02
3	0.00390625	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	0.0	0.02	0.0	0.02	hit5	0.02
4	0.00390625	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	0.0	0.0	0.02	0.02	hit3	0.02
5	0.00390625	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	0.05	0.05	0.0	0.0	simple	0.05
6	0.00390625	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	0.1	0.1	0.0	0.0	simple	0.1
7	0.00390625	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	0.0	0.1	0.0	0.1	hit5	0.1
8	0.00390625	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	0.0	0.0	0.1	0.1	hit3	0.1
9	0.00390625	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	0.0	0.5	0.0	0.5	hit5	0.5
10	0.00390625	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	0.0	0.0	0.5	0.5	hit3	0.5
11	0.00390625	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	0.0	1.0	0.0	1.0	hit5	1.0
12	0.00390625	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	0.0	0.0	1.0	1.0	hit3	1.0
13	0.00390625	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	0.0	4.0	0.0	4.0	hit5	4.0
