nrows	sim_id	rxn_type	mean_abort_per_m	sd_abort_per_m	total_abort	total_time	abort_freq
2	1	preterm_5_hit_intact	74	NA	74	999668	7.4e-5
2	1	preterm_no_hit_intact	2556	NA	2556	999668	0.002557
1	10	preterm_3_hit_intact	623	NA	623	999981	6.23e-4
2	100	preterm_3_hit_intact	6305	NA	6305	999945	0.006305
2	100	preterm_both_hit_intact	57	NA	57	999945	5.7e-5
2	101	preterm_5_hit_intact	7809	NA	7809	999983	0.007809
2	101	preterm_both_hit_intact	29	NA	29	999983	2.9e-5
2	102	preterm_3_hit_intact	6522	NA	6522	999817	0.006523
2	102	preterm_both_hit_intact	36	NA	36	999817	3.6e-5
2	103	preterm_5_hit_intact	8016	NA	8016	999992	0.008016
2	103	preterm_both_hit_intact	3	NA	3	999992	3e-6
2	104	preterm_3_hit_intact	6596	NA	6596	999939	0.006596
2	104	preterm_both_hit_intact	3	NA	3	999939	3e-6
2	106	preterm_5_hit_intact	54	NA	54	999956	5.4e-5
2	106	preterm_no_hit_intact	8128	NA	8128	999956	0.008128
2	107	preterm_5_hit_intact	39	NA	39	999934	3.9e-5
2	107	preterm_no_hit_intact	12076	NA	12076	999934	0.012077
2	108	preterm_5_hit_intact	249	NA	249	999981	2.49e-4
2	108	preterm_both_hit_intact	15	NA	15	999981	1.5e-5
2	109	preterm_3_hit_intact	256	NA	256	999971	2.56e-4
2	109	preterm_both_hit_intact	16	NA	16	999971	1.6e-5
2	11	preterm_5_hit_intact	688	NA	688	999923	6.88e-4
2	11	preterm_both_hit_intact	3	NA	3	999923	3e-6
2	110	preterm_5_hit_intact	11	NA	11	999999	1.1e-5
2	110	preterm_no_hit_intact	14926	NA	14926	999999	0.014926
2	111	preterm_5_hit_intact	5	NA	5	999994	5e-6
2	111	preterm_no_hit_intact	15418	NA	15418	999994	0.015418
2	112	preterm_5_hit_intact	866	NA	866	999946	8.66e-4
2	112	preterm_both_hit_intact	36	NA	36	999946	3.6e-5
2	113	preterm_3_hit_intact	815	NA	815	999877	8.15e-4
2	113	preterm_both_hit_intact	25	NA	25	999877	2.5e-5
2	114	preterm_5_hit_intact	1640	NA	1640	999977	0.00164
2	114	preterm_both_hit_intact	6	NA	6	999977	6e-6
2	115	preterm_3_hit_intact	1606	NA	1606	999971	0.001606
2	115	preterm_both_hit_intact	15	NA	15	999971	1.5e-5
2	116	preterm_5_hit_intact	1890	NA	1890	999963	0.00189
2	116	preterm_both_hit_intact	4	NA	4	999963	4e-6
2	117	preterm_3_hit_intact	1806	NA	1806	999949	0.001806
2	117	preterm_both_hit_intact	11	NA	11	999949	1.1e-5
2	118	preterm_5_hit_intact	2074	NA	2074	999866	0.002074
2	118	preterm_both_hit_intact	1	NA	1	999866	1e-6
1	119	preterm_3_hit_intact	1944	NA	1944	999968	0.001944
2	12	preterm_3_hit_intact	616	NA	616	999821	6.16e-4
2	12	preterm_both_hit_intact	3	NA	3	999821	3e-6
2	121	preterm_5_hit_intact	6	NA	6	999974	6e-6
2	121	preterm_no_hit_intact	7635	NA	7635	999974	0.007635
2	122	preterm_5_hit_intact	9	NA	9	999987	9e-6
2	122	preterm_no_hit_intact	11501	NA	11501	999987	0.011501
1	123	preterm_5_hit_intact	20	NA	20	999963	2e-5
1	124	preterm_3_hit_intact	26	NA	26	999957	2.6e-5
2	125	preterm_5_hit_intact	5	NA	5	999921	5e-6
2	125	preterm_no_hit_intact	14704	NA	14704	999921	0.014705
2	126	preterm_5_hit_intact	5	NA	5	999698	5e-6
2	126	preterm_no_hit_intact	15335	NA	15335	999698	0.01534
1	127	preterm_5_hit_intact	128	NA	128	999884	1.28e-4
1	128	preterm_3_hit_intact	83	NA	83	999951	8.3e-5
1	129	preterm_5_hit_intact	328	NA	328	999806	3.28e-4
1	13	preterm_5_hit_intact	641	NA	641	999763	6.41e-4
2	130	preterm_3_hit_intact	305	NA	305	999891	3.05e-4
2	130	preterm_both_hit_intact	1	NA	1	999891	1e-6
1	131	preterm_5_hit_intact	434	NA	434	999885	4.34e-4
1	132	preterm_3_hit_intact	493	NA	493	999891	4.93e-4
1	133	preterm_5_hit_intact	607	NA	607	999895	6.07e-4
1	134	preterm_3_hit_intact	634	NA	634	999952	6.34e-4
2	136	preterm_5_hit_intact	5596	NA	5596	999998	0.005596
2	136	preterm_no_hit_intact	15145	NA	15145	999998	0.015145
2	137	preterm_5_hit_intact	3004	NA	3004	999981	0.003004
2	137	preterm_no_hit_intact	24365	NA	24365	999981	0.024365
2	138	preterm_5_hit_intact	10543	NA	10543	999999	0.010543
2	138	preterm_both_hit_intact	6706	NA	6706	999999	0.006706
2	139	preterm_3_hit_intact	9112	NA	9112	999996	0.009112
2	139	preterm_both_hit_intact	5153	NA	5153	999996	0.005153
1	14	preterm_3_hit_intact	563	NA	563	999900	5.63e-4
2	140	preterm_5_hit_intact	217	NA	217	999871	2.17e-4
2	140	preterm_no_hit_intact	29892	NA	29892	999871	0.029896
2	141	preterm_5_hit_intact	28	NA	28	999968	2.8e-5
2	141	preterm_no_hit_intact	30164	NA	30164	999968	0.030165
2	142	preterm_5_hit_intact	18908	NA	18908	999978	0.018908
2	142	preterm_both_hit_intact	2814	NA	2814	999978	0.002814
2	143	preterm_3_hit_intact	14961	NA	14961	999998	0.014961
