sim_id	mean_p_per_m	sd_p_per_m	total_collision	total_time	collision_freq
0	3754	NA	3754	999918	0.003754
1	1258	NA	1258	999668	0.001258
10	965	NA	965	999981	9.65e-4
100	11022	NA	11022	999945	0.011023
101	11178	NA	11178	999983	0.011178
102	9936	NA	9936	999817	0.009938
103	9298	NA	9298	999992	0.009298
104	7737	NA	7737	999939	0.007737
105	15350	NA	15350	999988	0.01535
106	7637	NA	7637	999956	0.007637
107	3895	NA	3895	999934	0.003895
108	14177	NA	14177	999981	0.014177
109	14934	NA	14934	999971	0.014934
11	924	NA	924	999923	9.24e-4
110	1117	NA	1117	999999	0.001117
111	647	NA	647	999994	6.47e-4
112	11587	NA	11587	999946	0.011588
113	11103	NA	11103	999877	0.011104
114	6625	NA	6625	999977	0.006625
115	7029	NA	7029	999971	0.007029
116	5544	NA	5544	999963	0.005544
117	5450	NA	5450	999949	0.00545
118	3394	NA	3394	999866	0.003394
119	3141	NA	3141	999968	0.003141
12	860	NA	860	999821	8.6e-4
120	7892	NA	7892	999999	0.007892
121	4431	NA	4431	999974	0.004431
122	2737	NA	2737	999987	0.002737
123	8076	NA	8076	999963	0.008076
124	8224	NA	8224	999957	0.008224
125	1164	NA	1164	999921	0.001164
126	629	NA	629	999698	6.29e-4
127	7320	NA	7320	999884	0.007321
128	6872	NA	6872	999951	0.006872
129	5178	NA	5178	999806	0.005179
13	724	NA	724	999763	7.24e-4
130	5431	NA	5431	999891	0.005432
131	3983	NA	3983	999885	0.003983
132	4072	NA	4072	999891	0.004072
133	1800	NA	1800	999895	0.0018
134	2019	NA	2019	999952	0.002019
135	6214066	NA	6214066	1000000	6.214066
136	293854	NA	293854	999998	0.293854
137	67055	NA	67055	999981	0.067056
138	183214	NA	183214	999999	0.183214
139	144877	NA	144877	999996	0.144878
14	645	NA	645	999900	6.45e-4
140	4790	NA	4790	999871	0.004791
141	2087	NA	2087	999968	0.002087
142	76579	NA	76579	999978	0.076581
143	59749	NA	59749	999998	0.059749
144	43851	NA	43851	999988	0.043852
145	35622	NA	35622	999994	0.035622
146	35364	NA	35364	999980	0.035365
147	30545	NA	30545	999921	0.030547
148	27497	NA	27497	999946	0.027498
149	22737	NA	22737	999992	0.022737
15	830	NA	830	999641	8.3e-4
150	67640	NA	67640	999788	0.067654
151	31014	NA	31014	999956	0.031015
152	15127	NA	15127	999977	0.015127
153	60464	NA	60464	999972	0.060466
154	58569	NA	58569	999992	0.058569
155	4379	NA	4379	999965	0.004379
156	2047	NA	2047	999939	0.002047
157	46272	NA	46272	999965	0.046274
158	43368	NA	43368	999998	0.043368
159	28310	NA	28310	999957	0.028311
16	562	NA	562	999704	5.62e-4
160	25466	NA	25466	999954	0.025467
161	21335	NA	21335	999979	0.021335
162	19784	NA	19784	999987	0.019784
163	12639	NA	12639	999983	0.012639
164	11807	NA	11807	999923	0.011808
165	31652	NA	31652	999893	0.031655
166	16734	NA	16734	999963	0.016735
167	10504	NA	10504	999987	0.010504
168	31976	NA	31976	999911	0.031979
169	31398	NA	31398	999981	0.031399
17	227	NA	227	999114	2.27e-4
170	4198	NA	4198	999978	0.004198
171	2019	NA	2019	999979	0.002019
172	28822	NA	28822	999984	0.028822
173	29434	NA	29434	999983	0.029434
174	21690	NA	21690	999998	0.02169
175	21750	NA	21750	999999	0.02175
176	15801	NA	15801	999971	0.015801
177	16214	NA	16214	999956	0.016215
178	7518	NA	7518	1000000	0.007518
179	7271	NA	7271	999983	0.007271
18	868	NA	868	999905	8.68e-4
180	6402130	NA	6402130	999994	6.402166
181	7620913	NA	7620913	999999	7.620915
182	573647	NA	573647	999999	0.573647
183	608987	NA	608987	999996	0.608989
184	479650	NA	479650	999995	0.479652
185	20175	NA	20175	999990	0.020175
186	30924	NA	30924	999995	0.030924
187	226370	NA	226370	999985	0.226373
188	178632	NA	178632	999996	0.178633
189	124492	NA	124492	999961	0.124497
19	954	NA	954	999994	9.54e-4
190	105690	NA	105690	999983	0.105692
191	101234	NA	101234	999999	0.101234
192	86189	NA	86189	999996	0.086189
193	69722	NA	69722	999972	0.069724
194	59692	NA	59692	999990	0.059693
195	434668	NA	434668	999991	0.434672
196	139274	NA	139274	999988	0.139276
197	64750	NA	64750	999997	0.06475
198	296720	NA	296720	999990	0.296723
199	274291	NA	274291	999999	0.274291
2	486	NA	486	999906	4.86e-4
20	89	NA	89	999423	8.9e-5
200	32476	NA	32476	999999	0.032476
201	31467	NA	31467	999997	0.031467
202	187022	NA	187022	1000000	0.187022
203	164528	NA	164528	999989	0.16453
204	101455	NA	101455	999985	0.101456
205	91998	NA	91998	999996	0.091998
206	75094	NA	75094	999994	0.075094
207	68651	NA	68651	999999	0.068651
208	43118	NA	43118	999998	0.043118
209	37865	NA	37865	999998	0.037865
21	42	NA	42	999283	4.2e-5
210	130448	NA	130448	999999	0.130448
211	68952	NA	68952	999974	0.068954
212	41068	NA	41068	999966	0.041069
213	126998	NA	126998	999991	0.126999
214	126586	NA	126586	999993	0.126587
215	16978	NA	16978	999999	0.016978
216	32133	NA	32133	999997	0.032133
217	113541	NA	113541	999990	0.113542
218	115642	NA	115642	999996	0.115642
219	80446	NA	80446	999959	0.080449
22	800	NA	800	999888	8e-4
220	78752	NA	78752	999998	0.078752
221	59299	NA	59299	999998	0.059299
222	60112	NA	60112	999996	0.060112
223	27391	NA	27391	999999	0.027391
224	27439	NA	27439	999995	0.027439
225	6437467	NA	6437467	1000000	6.437467
226	8602297	NA	8602297	999999	8.6023
227	9131170	NA	9131170	999998	9.131185
228	1903076	NA	1903076	999999	1.903077
229	1561333	NA	1561333	999998	1.561335
23	791	NA	791	999988	7.91e-4
230	256178	NA	256178	999984	0.256182
231	195867	NA	195867	999989	0.195869
232	661711	NA	661711	999998	0.661712
233	526362	NA	526362	999998	0.526363
234	337006	NA	337006	999999	0.33700600000000003
235	296951	NA	296951	1000000	0.296951
236	262954	NA	262954	999986	0.262958
237	235009	NA	235009	999996	0.23501
238	163064	NA	163064	999994	0.163065
239	146762	NA	146762	999981	0.146765
24	557	NA	557	999985	5.57e-4
240	21150690	NA	21150690	827649	25.555125
241	1716967	NA	1716967	999999	1.716967
242	442247	NA	442247	999991	0.442251
243	1531542	NA	1531542	999984	1.531565
244	1365758	NA	1365758	999998	1.36576
245	209547	NA	209547	999993	0.209548
246	212089	NA	212089	999999	0.212089
247	693600	NA	693600	999998	0.693601
248	579557	NA	579557	999997	0.579559
249	332223	NA	332223	999990	0.332226
25	398	NA	398	999971	3.98e-4
250	293121	NA	293121	999993	0.293123
251	241465	NA	241465	999998	0.241465
252	218038	NA	218038	999989	0.21804
253	129441	NA	129441	999969	0.129445
254	333024	NA	333024	999993	0.333026
255	491810	NA	491810	999986	0.491817
256	258358	NA	258358	999999	0.258358
257	358484	NA	358484	999998	0.358484
258	478770	NA	478770	999995	0.478772
259	480419	NA	480419	999999	0.480419
26	333	NA	333	999567	3.33e-4
260	234032	NA	234032	999999	0.234032
261	136543	NA	136543	999991	0.136544
262	423256	NA	423256	999999	0.423256
263	413008	NA	413008	999999	0.413008
264	277594	NA	277594	999999	0.277594
265	277657	NA	277657	999997	0.277658
266	203505	NA	203505	999984	0.203508
267	201690	NA	201690	999996	0.201691
268	91876	NA	91876	999992	0.091877
269	252724	NA	252724	999990	0.252726
27	281	NA	281	999923	2.81e-4
270	6462299	NA	6462299	999989	6.462369
271	8738164	NA	8738164	999999	8.738164
272	11338099	NA	11338099	1000000	11.338099
273	5955315	NA	5955315	999999	5.955316
274	5198189	NA	5198189	999999	5.198192
275	1079873	NA	1079873	999999	1.079874
276	908623	NA	908623	999993	0.908629
277	1897194	NA	1897194	999999	1.897194
278	1530049	NA	1530049	1000000	1.530049
279	900801	NA	900801	999999	0.900801
28	195	NA	195	999871	1.95e-4
280	1207680	NA	1207680	999999	1.207681
281	654243	NA	654243	999999	0.654243
282	1418684	NA	1418684	999998	1.418686
283	354869	NA	354869	999994	0.354871
284	901997	NA	901997	999999	0.901997
285	20296991	NA	20296991	744672	27.256261
286	14874956	NA	14874956	530347	28.047588
287	4690017	NA	4690017	999999	4.690019
288	6504438	NA	6504438	999999	6.504439
289	5874240	NA	5874240	999999	5.87424
29	213	NA	213	999707	2.13e-4
290	913972	NA	913972	999998	0.913974
291	895617	NA	895617	999988	0.895627
292	2145502	NA	2145502	999999	2.145503
293	1812178	NA	1812178	1000000	1.812178
294	956667	NA	956667	999999	0.956667
295	1197420	NA	1197420	999998	1.197422
296	671630	NA	671630	999999	0.67163
297	683668	NA	683668	999999	0.683668
298	330647	NA	330647	999998	0.330647
299	1156061	NA	1156061	999999	1.156062
3	2682	NA	2682	999968	0.002682
30	270	NA	270	999919	2.7e-4
300	1856631	NA	1856631	1000000	1.856631
301	2355171	NA	2355171	999999	2.355171
302	1416097	NA	1416097	999999	1.416097
303	1652892	NA	1652892	947621	1.744253
304	2129614	NA	2129614	801816	2.655985
305	909706	NA	909706	999996	0.909709
306	905683	NA	905683	999999	0.905683
307	1454747	NA	1454747	999999	1.454747
308	1436746	NA	1436746	999999	1.436747
309	867483	NA	867483	999999	0.867484
31	372	NA	372	999507	3.72e-4
310	1334741	NA	1334741	999999	1.334741
311	610356	NA	610356	999991	0.610361
312	1155498	NA	1155498	999998	1.155499
313	263075	NA	263075	999993	0.263077
314	989290	NA	989290	999999	0.989291
315	6421259	NA	6421259	1000000	6.421259
316	8781149	NA	8781149	999999	8.78115
317	11779350	NA	11779350	999999	11.77935
318	11041505	NA	11041505	623056	17.721519
319	10948865	NA	10948865	503214	21.75786
32	144	NA	144	999113	1.44e-4
320	3044020	NA	3044020	999999	3.044023
321	1613327	NA	1613327	999999	1.613328
322	4717568	NA	4717568	940407	5.016513
323	4530862	NA	4530862	542054	8.358688
324	2170837	NA	2170837	999999	2.170837
325	2955265	NA	2955265	809853	3.649137
326	1494654	NA	1494654	999999	1.494654
327	2736351	NA	2736351	896222	3.053204
328	706998	NA	706998	999999	0.706998
329	2104617	NA	2104617	999999	2.104617
33	270	NA	270	999919	2.7e-4
330	19750586	NA	19750586	719486	27.450953
331	11985385	NA	11985385	394135	30.409298
332	11594292	NA	11594292	374178	30.986023
333	9119872	NA	9119872	467981	19.487673
334	9233034	NA	9233034	427067	21.619635
335	2407913	NA	2407913	999999	2.407913
336	1628448	NA	1628448	999999	1.628449
337	4514158	NA	4514158	801921	5.629176
338	3531929	NA	3531929	725086	4.871045
339	2314711	NA	2314711	999999	2.314711
34	270	NA	270	999919	2.7e-4
340	2611249	NA	2611249	593527	4.399541
341	1549740	NA	1549740	999999	1.549741
342	2141754	NA	2141754	728331	2.940632
343	697669	NA	697669	999996	0.697672
344	1962725	NA	1962725	950303	2.065367
345	3956126	NA	3956126	433608	9.123721
346	3389606	NA	3389606	368751	9.192102
347	3242194	NA	3242194	724244	4.476657
348	2565394	NA	2565394	389305	6.589665
349	2677561	NA	2677561	409261	6.542426
35	99	NA	99	999726	9.9e-5
350	2137559	NA	2137559	999999	2.137559
351	1637301	NA	1637301	999998	1.637303
352	2070897	NA	2070897	462705	4.475625
353	2261756	NA	2261756	490712	4.6091240000000004
354	1498709	NA	1498709	664339	2.255938
355	1906584	NA	1906584	468339	4.070942
356	1265196	NA	1265196	845507	1.496374
357	1719803	NA	1719803	517965	3.320304
358	610478	NA	610478	999999	0.610478
359	1528601	NA	1528601	731290	2.090278
36	42	NA	42	999928	4.2e-5
360	6435135	NA	6435135	1000000	6.435135
361	9484375	NA	9484375	999998	9.484386
362	12169496	NA	12169496	999999	12.169504
363	13270404	NA	13270404	400936	33.098497
364	7173934	NA	7173934	226421	31.683932
365	7289202	NA	7289202	932448	7.817272
366	2760056	NA	2760056	999999	2.760057
367	5328537	NA	5328537	488974	10.897365
368	5630774	NA	5630774	286950	19.622812
369	3171758	NA	3171758	749089	4.234151
37	325	NA	325	999946	3.25e-4
370	3282735	NA	3282735	485058	6.767716
371	2566921	NA	2566921	929939	2.76031
372	3011548	NA	3011548	614981	4.896972
373	1196916	NA	1196916	999999	1.196917
374	2590299	NA	2590299	796627	3.251581
375	20222693	NA	20222693	734960	27.515338
376	10013727	NA	10013727	324877	30.823105
377	9705444	NA	9705444	281901	34.428539
378	11535774	NA	11535774	297021	38.838225
379	7397662	NA	7397662	192986	38.332473
38	217	NA	217	999898	2.17e-4
380	4052445	NA	4052445	999999	4.052448
381	2678389	NA	2678389	999997	2.6783960000000002
382	5370488	NA	5370488	452484	11.868897
383	4769910	NA	4769910	296391	16.093261
384	3071175	NA	3071175	693936	4.42573
385	2866655	NA	2866655	415002	6.907559
386	2506913	NA	2506913	883175	2.838521
387	2564235	NA	2564235	519868	4.932467
388	1195202	NA	1195202	999999	1.195203
389	2153006	NA	2153006	667397	3.225971
39	365	NA	365	999974	3.65e-4
390	11028231	NA	11028231	172721	63.849765
391	6407530	NA	6407530	147358	43.482703
392	4119620	NA	4119620	246616	16.704545
393	5454003	NA	5454003	189257	28.817834
394	5678057	NA	5678057	103851	54.67493
395	4027366	NA	4027366	999999	4.027367
396	2737861	NA	2737861	999999	2.737861
397	3095683	NA	3095683	283611	10.915209
398	3560698	NA	3560698	143557	24.803373
399	1930709	NA	1930709	432478	4.464284
4	2681	NA	2681	999621	0.002682
40	335	NA	335	999159	3.35e-4
400	2245259	NA	2245259	321306	6.987906
401	1498307	NA	1498307	530466	2.824506
402	2190297	NA	2190297	425716	5.144966
403	885258	NA	885258	800851	1.105396
404	1714998	NA	1714998	536736	3.195235
41	293	NA	293	999438	2.93e-4
42	268	NA	268	999908	2.68e-4
43	136	NA	136	999923	1.36e-4
44	164	NA	164	999597	1.64e-4
45	22331	NA	22331	999960	0.022332
46	5600	NA	5600	999798	0.005601
47	1906	NA	1906	999974	0.001906
48	11307	NA	11307	999680	0.011311
49	10455	NA	10455	999755	0.010458
5	90	NA	90	999797	9e-5
50	448	NA	448	999864	4.48e-4
51	159	NA	159	999898	1.59e-4
52	6832	NA	6832	999926	0.006833
53	5445	NA	5445	999901	0.005446
54	3781	NA	3781	999891	0.003781
55	3511	NA	3511	999850	0.003512
56	3396	NA	3396	999952	0.003396
