sim_id	mean_p_per_m	sd_p_per_m	total_p	total_time	psr
0	3851	NA	3851	999918	0.003851
1	1275	NA	1275	999668	0.001275
10	3245	NA	3245	999981	0.003245
100	8886	NA	8886	999945	0.008886
101	7613	NA	7613	999983	0.007613
102	8844	NA	8844	999817	0.008846
103	7412	NA	7412	999992	0.007412
104	8673	NA	8673	999939	0.008674
105	15427	NA	15427	999988	0.015427
106	7207	NA	7207	999956	0.007207
107	3433	NA	3433	999934	0.003433
108	15282	NA	15282	999981	0.015282
109	15228	NA	15228	999971	0.015228
11	3289	NA	3289	999923	0.003289
110	387	NA	387	999999	3.87e-4
111	12	NA	12	999994	1.2e-5
112	14643	NA	14643	999946	0.014644
113	14661	NA	14661	999877	0.014663
114	13676	NA	13676	999977	0.013676
115	13858	NA	13858	999971	0.013858
116	13626	NA	13626	999963	0.013627
117	13559	NA	13559	999949	0.01356
118	13350	NA	13350	999866	0.013352
119	13492	NA	13492	999968	0.013492
12	3260	NA	3260	999821	0.003261
120	15259	NA	15259	999999	0.015259
121	7738	NA	7738	999974	0.007738
122	4096	NA	4096	999987	0.004096
123	15258	NA	15258	999963	0.015259
124	15171	NA	15171	999957	0.015172
125	548	NA	548	999921	5.48e-4
126	24	NA	24	999698	2.4e-5
127	15345	NA	15345	999884	0.015347
128	15340	NA	15340	999951	0.015341
129	14980	NA	14980	999806	0.014983
13	3213	NA	3213	999763	0.003214
130	15007	NA	15007	999891	0.015009
131	14975	NA	14975	999885	0.014977
132	14961	NA	14961	999891	0.014963
133	14770	NA	14770	999895	0.014772
134	14877	NA	14877	999952	0.014878
135	19618	NA	19618	1000000	0.019618
136	9629	NA	9629	999998	0.009629
137	3366	NA	3366	999981	0.003366
138	13187	NA	13187	999999	0.013187
139	16298	NA	16298	999996	0.016298
14	3215	NA	3215	999900	0.003215
140	137	NA	137	999871	1.37e-4
141	2	NA	2	999968	2e-6
142	8833	NA	8833	999978	0.008833
143	13434	NA	13434	999998	0.013434
144	7711	NA	7711	999988	0.007711
145	12404	NA	12404	999994	0.012404
146	7850	NA	7850	999980	0.00785
147	12269	NA	12269	999921	0.01227
148	7755	NA	7755	999946	0.007755
149	12119	NA	12119	999992	0.012119
15	3809	NA	3809	999641	0.00381
150	30361	NA	30361	999788	0.030367
151	14168	NA	14168	999956	0.014169
152	6784	NA	6784	999977	0.006784
153	29324	NA	29324	999972	0.029325
154	29280	NA	29280	999992	0.02928
155	708	NA	708	999965	7.08e-4
156	23	NA	23	999939	2.3e-5
157	26936	NA	26936	999965	0.026937
158	27072	NA	27072	999998	0.027072
159	24184	NA	24184	999957	0.024185
16	1858	NA	1858	999704	0.001859
160	24709	NA	24709	999954	0.02471
161	23620	NA	23620	999979	0.02362
162	24076	NA	24076	999987	0.024076
163	23087	NA	23087	999983	0.023087
164	23776	NA	23776	999923	0.023778
165	30556	NA	30556	999893	0.030559
166	15373	NA	15373	999963	0.015374
167	7983	NA	7983	999987	0.007983
168	30528	NA	30528	999911	0.030531
169	30449	NA	30449	999981	0.03045
17	928	NA	928	999114	9.29e-4
170	1090	NA	1090	999978	0.00109
171	42	NA	42	999979	4.2e-5
172	30166	NA	30166	999984	0.030166
173	30256	NA	30256	999983	0.030257
174	29323	NA	29323	999998	0.029323
175	29163	NA	29163	999999	0.029163
176	28666	NA	28666	999971	0.028667
177	28760	NA	28760	999956	0.028761
