	k_init	k_transcription	k_deadenylation	n_mrna_0	k_cleave_no_hit	k_cleave_5_hit	k_cleave_3_hit	k_cleave_both_hit	cleave_model	cleave_rate	n_stall	x_stall	k_elong_stall	k_preterm_no_hit_intact	k_preterm_5_hit_intact	k_preterm_3_hit_intact	k_preterm_both_hit_intact	preterm_intact_model	preterm_intact_rate
0	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.000884	0.000884	0	0.0	simple	0.000884
1	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.00125	0.00125	0	0.0	simple	0.00125
2	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.001768	0.001768	0	0.0	simple	0.001768
3	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.0025	0.0025	0	0.0	simple	0.0025
4	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.003536	0.003536	0	0.0	simple	0.003536
5	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.005	0.005	0	0.0	simple	0.005
6	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.007071	0.007071	0	0.0	simple	0.007071
7	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.01	0.01	0	0.0	simple	0.01
8	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.014142	0.014142	0	0.0	simple	0.014142
9	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.02	0.02	0	0.0	simple	0.02
10	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.028284	0.028284	0	0.0	simple	0.028284
11	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.04	0.04	0	0.0	simple	0.04
12	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.056569	0.056569	0	0.0	simple	0.056569
13	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.08	0.08	0	0.0	simple	0.08
14	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.113137	0.113137	0	0.0	simple	0.113137
15	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.0	0.044194	0	0.044194	hit5	0.044194
16	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.0	0.0625	0	0.0625	hit5	0.0625
17	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.0	0.088388	0	0.088388	hit5	0.088388
18	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.0	0.125	0	0.125	hit5	0.125
19	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.0	0.176777	0	0.176777	hit5	0.176777
20	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.0	0.25	0	0.25	hit5	0.25
21	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.0	0.353553	0	0.353553	hit5	0.353553
22	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.0	0.5	0	0.5	hit5	0.5
23	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.0	0.707107	0	0.707107	hit5	0.707107
24	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.0	1.0	0	1.0	hit5	1.0
25	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.0	1.414214	0	1.414214	hit5	1.414214
26	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.0	2.0	0	2.0	hit5	2.0
27	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.0	2.828427	0	2.828427	hit5	2.828427
28	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.0	4.0	0	4.0	hit5	4.0
29	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.6,0.6,0.6,0.6,0.6,0.6	0.0	5.656854	0	5.656854	hit5	5.656854
30	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.000884	0.000884	0	0.0	simple	0.000884
31	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.00125	0.00125	0	0.0	simple	0.00125
32	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.001768	0.001768	0	0.0	simple	0.001768
33	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.0025	0.0025	0	0.0	simple	0.0025
34	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.003536	0.003536	0	0.0	simple	0.003536
35	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.005	0.005	0	0.0	simple	0.005
36	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.007071	0.007071	0	0.0	simple	0.007071
37	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.01	0.01	0	0.0	simple	0.01
38	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.014142	0.014142	0	0.0	simple	0.014142
39	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.02	0.02	0	0.0	simple	0.02
40	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.028284	0.028284	0	0.0	simple	0.028284
41	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.04	0.04	0	0.0	simple	0.04
42	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.056569	0.056569	0	0.0	simple	0.056569
43	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.08	0.08	0	0.0	simple	0.08
44	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.113137	0.113137	0	0.0	simple	0.113137
45	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.0	0.044194	0	0.044194	hit5	0.044194
46	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.0	0.0625	0	0.0625	hit5	0.0625
47	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.0	0.088388	0	0.088388	hit5	0.088388
48	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.0	0.125	0	0.125	hit5	0.125
49	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.0	0.176777	0	0.176777	hit5	0.176777
50	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.0	0.25	0	0.25	hit5	0.25
51	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.0	0.353553	0	0.353553	hit5	0.353553
52	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.0	0.5	0	0.5	hit5	0.5
53	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.0	0.707107	0	0.707107	hit5	0.707107
54	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.0	1.0	0	1.0	hit5	1.0
55	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.0	1.414214	0	1.414214	hit5	1.414214
56	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.0	2.0	0	2.0	hit5	2.0
57	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.0	2.828427	0	2.828427	hit5	2.828427
58	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.0	4.0	0	4.0	hit5	4.0
59	0.125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	10,10,10,10,10,10	0.0	5.656854	0	5.656854	hit5	5.656854
