nrows	sim_id	rxn_type	mean_abort_per_m	sd_abort_per_m	total_abort	total_time	abort_freq
2	0	preterm_5_hit_intact	2203	NA	2203	657244	0.003352
2	0	preterm_no_hit_intact	3518	NA	3518	657244	0.005353
2	1	preterm_5_hit_intact	3429	NA	3429	786155	0.004362
2	1	preterm_no_hit_intact	5926	NA	5926	786155	0.007538
2	10	preterm_5_hit_intact	3345	NA	3345	999997	0.003345
2	10	preterm_no_hit_intact	102439	NA	102439	999997	0.102439
2	11	preterm_5_hit_intact	2014	NA	2014	999999	0.002014
2	11	preterm_no_hit_intact	110509	NA	110509	999999	0.110509
2	12	preterm_5_hit_intact	1408	NA	1408	999998	0.001408
2	12	preterm_no_hit_intact	115261	NA	115261	999998	0.115261
2	13	preterm_5_hit_intact	2835	NA	2835	999998	0.002835
2	13	preterm_no_hit_intact	117623	NA	117623	999998	0.117623
2	14	preterm_5_hit_intact	2908	NA	2908	999993	0.002908
2	14	preterm_no_hit_intact	118038	NA	118038	999993	0.118039
2	15	preterm_5_hit_intact	23507	NA	23507	999999	0.023507
2	15	preterm_both_hit_intact	16318	NA	16318	999999	0.016318
2	16	preterm_5_hit_intact	28655	NA	28655	999995	0.028655
2	16	preterm_both_hit_intact	15486	NA	15486	999995	0.015486
2	17	preterm_5_hit_intact	34442	NA	34442	999999	0.034442
2	17	preterm_both_hit_intact	13975	NA	13975	999999	0.013975
2	18	preterm_5_hit_intact	40872	NA	40872	999987	0.040872
2	18	preterm_both_hit_intact	12260	NA	12260	999987	0.01226
2	19	preterm_5_hit_intact	46694	NA	46694	999996	0.046694
2	19	preterm_both_hit_intact	10446	NA	10446	999996	0.010446
2	2	preterm_5_hit_intact	4470	NA	4470	767568	0.005824
2	2	preterm_no_hit_intact	8380	NA	8380	767568	0.010918
2	20	preterm_5_hit_intact	53335	NA	53335	999991	0.053335
2	20	preterm_both_hit_intact	7989	NA	7989	999991	0.007989
2	21	preterm_5_hit_intact	57943	NA	57943	999999	0.057943
2	21	preterm_both_hit_intact	6243	NA	6243	999999	0.006243
2	22	preterm_5_hit_intact	62422	NA	62422	999990	0.062423
2	22	preterm_both_hit_intact	4222	NA	4222	999990	0.004222
2	23	preterm_5_hit_intact	65659	NA	65659	999994	0.065659
2	23	preterm_both_hit_intact	2702	NA	2702	999994	0.002702
2	24	preterm_5_hit_intact	67614	NA	67614	999998	0.067614
2	24	preterm_both_hit_intact	1629	NA	1629	999998	0.001629
2	25	preterm_5_hit_intact	69138	NA	69138	999988	0.069139
2	25	preterm_both_hit_intact	997	NA	997	999988	9.97e-4
2	26	preterm_5_hit_intact	69345	NA	69345	999994	0.069345
2	26	preterm_both_hit_intact	543	NA	543	999994	5.43e-4
2	27	preterm_5_hit_intact	70484	NA	70484	999980	0.070485
2	27	preterm_both_hit_intact	287	NA	287	999980	2.87e-4
2	28	preterm_5_hit_intact	70641	NA	70641	999969	0.070643
2	28	preterm_both_hit_intact	167	NA	167	999969	1.67e-4
2	29	preterm_5_hit_intact	70545	NA	70545	999983	0.070546
2	29	preterm_both_hit_intact	81	NA	81	999983	8.1e-5
2	3	preterm_5_hit_intact	6632	NA	6632	999998	0.006632
2	3	preterm_no_hit_intact	15760	NA	15760	999998	0.01576
2	30	preterm_5_hit_intact	73	NA	73	999995	7.3e-5
2	30	preterm_no_hit_intact	6786	NA	6786	999995	0.006786
2	31	preterm_5_hit_intact	63	NA	63	999997	6.3e-5
2	31	preterm_no_hit_intact	8916	NA	8916	999997	0.008916
2	32	preterm_5_hit_intact	100	NA	100	999982	1e-4
2	32	preterm_no_hit_intact	12288	NA	12288	999982	0.012288
2	33	preterm_5_hit_intact	130	NA	130	999993	1.3e-4
2	33	preterm_no_hit_intact	16864	NA	16864	999993	0.016864
2	34	preterm_5_hit_intact	141	NA	141	999995	1.41e-4
2	34	preterm_no_hit_intact	23100	NA	23100	999995	0.0231
2	35	preterm_5_hit_intact	200	NA	200	999994	2e-4
2	35	preterm_no_hit_intact	31232	NA	31232	999994	0.031232
2	36	preterm_5_hit_intact	231	NA	231	999997	2.31e-4
2	36	preterm_no_hit_intact	41359	NA	41359	999997	0.041359
2	37	preterm_5_hit_intact	489	NA	489	999996	4.89e-4
2	37	preterm_no_hit_intact	56636	NA	56636	999996	0.056636
2	38	preterm_5_hit_intact	621	NA	621	999997	6.21e-4
2	38	preterm_no_hit_intact	71582	NA	71582	999997	0.071582
2	39	preterm_5_hit_intact	342	NA	342	999999	3.42e-4
2	39	preterm_no_hit_intact	81594	NA	81594	999999	0.081594
2	4	preterm_5_hit_intact	6171	NA	6171	999999	0.006171
2	4	preterm_no_hit_intact	22401	NA	22401	999999	0.022401
2	40	preterm_5_hit_intact	555	NA	555	999988	5.55e-4
2	40	preterm_no_hit_intact	96512	NA	96512	999988	0.096513
2	41	preterm_5_hit_intact	1020	NA	1020	999999	0.00102
2	41	preterm_no_hit_intact	109261	NA	109261	999999	0.109261
2	42	preterm_5_hit_intact	1147	NA	1147	999995	0.001147
2	42	preterm_no_hit_intact	114629	NA	114629	999995	0.11463
2	43	preterm_5_hit_intact	1262	NA	1262	999990	0.001262
2	43	preterm_no_hit_intact	114743	NA	114743	999990	0.114744
2	44	preterm_5_hit_intact	2835	NA	2835	999999	0.002835
2	44	preterm_no_hit_intact	117875	NA	117875	999999	0.117875
2	45	preterm_5_hit_intact	2415	NA	2415	999980	0.002415
2	45	preterm_both_hit_intact	85	NA	85	999980	8.5e-5
2	46	preterm_5_hit_intact	3225	NA	3225	999989	0.003225
2	46	preterm_both_hit_intact	84	NA	84	999989	8.4e-5
2	47	preterm_5_hit_intact	4299	NA	4299	999997	0.004299
2	47	preterm_both_hit_intact	112	NA	112	999997	1.12e-4
2	48	preterm_5_hit_intact	5894	NA	5894	999999	0.005894
2	48	preterm_both_hit_intact	138	NA	138	999999	1.38e-4
2	49	preterm_5_hit_intact	7689	NA	7689	999999	0.007689
2	49	preterm_both_hit_intact	151	NA	151	999999	1.51e-4
2	5	preterm_5_hit_intact	9470	NA	9470	999999	0.00947
2	5	preterm_no_hit_intact	32303	NA	32303	999999	0.032303
2	50	preterm_5_hit_intact	9792	NA	9792	999993	0.009792
2	50	preterm_both_hit_intact	147	NA	147	999993	1.47e-4
2	51	preterm_5_hit_intact	12530	NA	12530	1000000	0.01253
