sim_id	mean_p_per_m	sd_p_per_m	total_collision	total_time	collision_freq
0	16076793	NA	16076793	657244	24.460919
1	18474526	NA	18474526	786155	23.499831
10	426155	NA	426155	999997	0.426156
11	261448	NA	261448	999999	0.261448
12	194100	NA	194100	999998	0.1941
13	340326	NA	340326	999998	0.340327
14	255584	NA	255584	999993	0.255586
15	1000018	NA	1000018	999999	1.000018
16	854127	NA	854127	999995	0.854131
17	717819	NA	717819	999999	0.71782
18	616534	NA	616534	999987	0.616541
19	529197	NA	529197	999996	0.529199
2	16479624	NA	16479624	767568	21.469902
20	453825	NA	453825	999991	0.453829
21	393122	NA	393122	999999	0.393122
22	332223	NA	332223	999990	0.332226
23	285834	NA	285834	999994	0.285835
24	241465	NA	241465	999998	0.241465
25	206868	NA	206868	999988	0.20687
26	173156	NA	173156	999994	0.173157
27	149974	NA	149974	999980	0.149977
28	129441	NA	129441	999969	0.129445
29	113656	NA	113656	999983	0.113658
3	16036275	NA	16036275	999998	16.036298
30	789018	NA	789018	999995	0.789021
31	432490	NA	432490	999997	0.432491
32	412037	NA	412037	999982	0.412044
33	389454	NA	389454	999993	0.389456
34	364907	NA	364907	999995	0.364909
35	329476	NA	329476	999994	0.329478
36	291728	NA	291728	999997	0.291729
37	481875	NA	481875	999996	0.481877
38	409702	NA	409702	999997	0.409703
39	154215	NA	154215	999999	0.154215
4	8869130	NA	8869130	999999	8.86913
40	185054	NA	185054	999988	0.185056
41	254231	NA	254231	999999	0.254231
42	192457	NA	192457	999995	0.192458
43	157757	NA	157757	999990	0.157759
44	245112	NA	245112	999999	0.245112
45	439253	NA	439253	999980	0.439262
46	429008	NA	429008	999989	0.429013
47	410730	NA	410730	999997	0.410731
48	394844	NA	394844	999999	0.394844
49	370167	NA	370167	999999	0.370167
5	9273173	NA	9273173	999999	9.273174
50	343546	NA	343546	999993	0.343548
51	313980	NA	313980	1000000	0.31398
52	272532	NA	272532	999995	0.272533
53	241694	NA	241694	999988	0.241697
54	203648	NA	203648	999998	0.203648
55	167876	NA	167876	999999	0.167876
56	136107	NA	136107	999999	0.136107
57	111233	NA	111233	999999	0.111233
58	91311	NA	91311	999999	0.091311
59	74419	NA	74419	999997	0.074419
6	1920005	NA	1920005	999998	1.920007
7	1716967	NA	1716967	999999	1.716967
8	506450	NA	506450	999999	0.50645
9	442247	NA	442247	999991	0.442251
