sim_id	mean_p_per_m	sd_p_per_m	total_p	total_time	psr
0	59977	NA	59977	657244	0.091255
1	70962	NA	70962	786155	0.090265
10	14479	NA	14479	999997	0.014479
11	5955	NA	5955	999999	0.005955
12	1745	NA	1745	999998	0.001745
13	312	NA	312	999998	3.12e-4
14	38	NA	38	999993	3.8e-5
15	71583	NA	71583	999999	0.071583
16	67402	NA	67402	999995	0.067402
17	62676	NA	62676	999999	0.062676
18	58455	NA	58455	999987	0.058456
19	53955	NA	53955	999996	0.053955
2	68173	NA	68173	767568	0.088817
20	50052	NA	50052	999991	0.050052
21	46971	NA	46971	999999	0.046971
22	44446	NA	44446	999990	0.044446
23	42956	NA	42956	999994	0.042956
24	41983	NA	41983	999998	0.041983
25	41240	NA	41240	999988	0.04124
26	41061	NA	41061	999994	0.041061
27	40652	NA	40652	999980	0.040653
28	40529	NA	40529	999969	0.04053
29	40620	NA	40620	999983	0.040621
3	86460	NA	86460	999998	0.08646
30	113678	NA	113678	999995	0.113679
31	102668	NA	102668	999997	0.102668
32	99003	NA	99003	999982	0.099005
33	94406	NA	94406	999993	0.094407
34	88329	NA	88329	999995	0.088329
35	80191	NA	80191	999994	0.080191
36	69612	NA	69612	999997	0.069612
37	61658	NA	61658	999996	0.061658
38	47122	NA	47122	999997	0.047122
39	29896	NA	29896	999999	0.029896
4	82221	NA	82221	999999	0.082221
40	17840	NA	17840	999988	0.01784
41	8612	NA	8612	999999	0.008612
42	2852	NA	2852	999995	0.002852
43	610	NA	610	999990	6.1e-4
44	88	NA	88	999999	8.8e-5
45	108835	NA	108835	999980	0.108837
46	107843	NA	107843	999989	0.107844
47	106716	NA	106716	999997	0.106716
48	105579	NA	105579	999999	0.105579
49	103560	NA	103560	999999	0.10356
5	78020	NA	78020	999999	0.07802
50	101558	NA	101558	999993	0.101559
51	98874	NA	98874	1000000	0.098874
52	95938	NA	95938	999995	0.095938
53	93728	NA	93728	999988	0.093729
54	91103	NA	91103	999998	0.091103
55	89003	NA	89003	999999	0.089003
56	87123	NA	87123	999999	0.087123
57	85362	NA	85362	999999	0.085362
58	84330	NA	84330	999999	0.08433
59	83234	NA	83234	999997	0.083234
6	64474	NA	64474	999998	0.064474
7	55900	NA	55900	999999	0.0559
8	38306	NA	38306	999999	0.038306
9	25729	NA	25729	999991	0.025729
